	ENST_Nested	ENST_Host	geneChr_Nested	geneStart_Nested	geneEnd_Nested	SYMBOL_Nested	Strand_Nested	biotype_Nested	geneChr_Host	geneStart_Host	geneEnd_Host	SYMBOL_Host	Strand_Host	biotype_Host	Overlap_size	Strandness	pairid	seqnames	start	end	width	strand	V5	annotation	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic	exon_intron_number	exon_intron_total_number
8473	ENST00000577381.1	ENST00000466387.5_3	chr2	80021395	80021507	AC096753.1	+	miRNA	chr2	79412356	80875904	CTNNA2	+	protein_coding	112	same	3295_ID	chr2	80021396	80021507	112	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	21
8504	ENST00000577550.1	ENST00000556155.5_3	chr12	57515444	57515545	AC023237.1	-	miRNA	chr12	57490123	57522883	STAT6	-	protein_coding	101	same	1939_ID	chr12	57515445	57515545	101	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
8588	ENST00000577943.1	ENST00000291906.5_2	chr9	131472058	131472318	RN7SL560P	+	misc_RNA	chr9	131464781	131483195	PKN3	+	protein_coding	260	same	10271_ID	chr9	131472059	131472318	260	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	6	21
8622	ENST00000578165.1	ENST00000662716.1_3	chr7	148427920	148428020	AC005229.1	-	miRNA	chr7	148395163	148498080	CUL1	+	protein_coding	100	opposite	257_ID	chr7	148427921	148428020	100	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
8657	ENST00000578391.1_1	ENST00000637651.1_3	chr18	5567128	5570941	AP005059.1	+	lncRNA	chr18	5392443	5630662	EPB41L3	-	nonsense_mediated_decay	3813	opposite	6281_ID	chr18	5567129	5570941	3813	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
8661	ENST00000578408.1_3	ENST00000318217.10_4	chr17	30836971	30850442	AC079336.2	-	lncRNA	chr17	30819539	31204142	MYO1D	-	protein_coding	13471	same	2648_ID	chr17	30836972	30850442	13471	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	21	21
8689	ENST00000578592.1	ENST00000222345.11_2	chr19	38690873	38691170	RN7SL663P	+	misc_RNA	chr19	38397847	38699009	SIPA1L3	+	protein_coding	297	same	10348_ID	chr19	38690874	38691170	297	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	19	21
8739	ENST00000578876.1	ENST00000646379.1_5	chr3	10371912	10371969	MIR378B	+	miRNA	chr3	10369691	10749692	ATP2B2	-	protein_coding	57	opposite	8402_ID	chr3	10371913	10371969	57	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	21	21
8755	ENST00000578969.1	ENST00000600132.5_2	chr19	4208219	4208530	RN7SL84P	+	misc_RNA	chr19	4183350	4224811	ANKRD24	+	protein_coding	311	same	10478_ID	chr19	4208220	4208530	311	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	10	21
8794	ENST00000579210.1	ENST00000475866.3_7	chr1	26674955	26675210	RN7SL490P	-	misc_RNA	chr1	26648188	26686571	CRYBG2	-	protein_coding	255	same	10222_ID	chr1	26674956	26675210	255	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	21
8998	ENST00000580385.1_1	ENST00000621189.4_3	chr8	145737949	145739056	AC084125.4	+	lncRNA	chr8	145736670	145743229	RECQL4	-	protein_coding	1107	opposite	2739_ID	chr8	145737950	145739056	1107	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	12	21
9175	ENST00000581352.1	ENST00000449576.6_4	chr2	11907569	11907651	MIR548S	+	miRNA	chr2	11817720	11965013	LPIN1	+	protein_coding	82	same	8915_ID	chr2	11907570	11907651	82	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	21
9196	ENST00000581491.1	ENST00000489711.6_4	chr3	121640944	121641029	AC072031.1	-	miRNA	chr3	121613247	121663035	SLC15A2	+	protein_coding	85	opposite	2497_ID	chr3	121640945	121641029	85	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	21
9238	ENST00000581768.1	ENST00000302850.10_5	chr19	7160430	7160506	AC010311.1	-	miRNA	chr19	7112275	7294425	INSR	-	protein_coding	76	same	1054_ID	chr19	7160431	7160506	76	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	9	21
9388	ENST00000582552.1	ENST00000646855.1_1	chr2	87929273	87929353	MIR4435-1	+	miRNA	chr2	87755006	88066878	AC133644.2	+	lncRNA	80	same	8534_ID	chr2	87929274	87929353	80	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
9448	ENST00000582846.1	ENST00000264649.10_2	chr17	40666205	40666325	MIR5010	+	miRNA	chr17	40610897	40674600	ATP6V0A1	+	protein_coding	120	same	8817_ID	chr17	40666206	40666325	120	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	20	21
9461	ENST00000582915.1_3	ENST00000379672.10_4	chr17	12893465	12893927	AC005277.1	-	lncRNA	chr17	12692814	12894960	ARHGAP44	+	protein_coding	462	opposite	266_ID	chr17	12893466	12893927	462	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21	21
9500	ENST00000583156.1_3	ENST00000318217.10_4	chr17	30839886	30846368	AC079336.1	-	lncRNA	chr17	30819539	31204142	MYO1D	-	protein_coding	6482	same	2647_ID	chr17	30839887	30846368	6482	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	21	21
9564	ENST00000583520.1	ENST00000466387.5_3	chr2	79876419	79876485	MIR4264	-	miRNA	chr2	79412356	80875904	CTNNA2	+	protein_coding	66	opposite	8465_ID	chr2	79876420	79876485	66	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	5	21
9571	ENST00000583553.1	ENST00000361209.6_5	chr9	119861285	119861385	AL354981.1	+	miRNA	chr9	119187506	120177348	ASTN2	-	protein_coding	100	opposite	5307_ID	chr9	119861286	119861385	100	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	21
9673	ENST00000584117.1	ENST00000356865.11_3	chr15	26093893	26093972	MIR4715	-	miRNA	chr15	25922419	26108870	ATP10A	-	protein_coding	79	same	8703_ID	chr15	26093894	26093972	79	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
9691	ENST00000584219.1_1	ENST00000318217.10_4	chr17	30845970	30858510	AC079336.4	+	lncRNA	chr17	30819539	31204142	MYO1D	-	protein_coding	12540	opposite	2651_ID	chr17	30845971	30858510	12540	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	21	21
9727	ENST00000584406.1	ENST00000332231.9_3	chr11	951294	951364	AP006477.1	-	miRNA	chr11	925808	1012245	AP2A2	+	protein_coding	70	opposite	6315_ID	chr11	951295	951364	70	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
9978	ENST00000587660.1_1	ENST00000398339.5_3	chr18	53119763	53150171	TCF4-AS1	+	lncRNA	chr18	52895166	53303258	TCF4	-	protein_coding	30408	opposite	12643_ID	chr18	53119764	53150171	30408	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	5	21
10033	ENST00000589702.1_1	ENST00000242783.11_4	chr19	14569212	14570178	AC008569.2	+	lncRNA	chr19	14544117	14582671	PKN1	+	protein_coding	966	same	749_ID	chr19	14569213	14570178	966	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	9	21
10085	ENST00000591364.5_1	ENST00000643940.1_4	chr12	131143312	131153667	AC095350.1	+	lncRNA	chr12	130880721	131200826	RIMBP2	-	protein_coding	17892	opposite	3267_ID	chr12	131143313	131153667	10355	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
10172	ENST00000594299.1_1	ENST00000222345.11_2	chr19	38675015	38676905	AC011479.3	+	lncRNA	chr19	38397847	38699009	SIPA1L3	+	protein_coding	1890	same	1247_ID	chr19	38675016	38676905	1890	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	16	21
10247	ENST00000596786.1_3	ENST00000590333.5_3	chr19	55823396	55823863	AC020922.2	-	lncRNA	chr19	55793439	55823901	BRSK1	+	protein_coding	467	opposite	1761_ID	chr19	55823397	55823863	467	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21	21
10266	ENST00000597192.1_1	ENST00000404537.6_5	chr2	220423804	220424348	AC009955.4	+	lncRNA	chr2	220415449	220436261	OBSL1	-	protein_coding	544	opposite	1011_ID	chr2	220423805	220424348	544	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	9	21
10282	ENST00000597630.2_4	ENST00000599589.5_3	chr19	42411856	42432668	ERFL	-	protein_coding	chr19	42399451	42434302	ARHGEF1	+	protein_coding	20812	opposite	6921_ID	chr19	42411857	42432668	20812	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	19	21
10302	ENST00000598146.1_1	ENST00000222345.11_2	chr19	38690475	38691574	AC011479.2	+	lncRNA	chr19	38397847	38699009	SIPA1L3	+	protein_coding	1099	same	1246_ID	chr19	38690476	38691574	1099	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	19	21
10330	ENST00000599092.1_3	ENST00000222345.11_2	chr19	38599139	38600173	AC011465.1	-	lncRNA	chr19	38397847	38699009	SIPA1L3	+	protein_coding	55656	opposite	1225_ID	chr19	38599140	38600173	1034	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	21
10417	ENST00000601752.1_1	ENST00000222345.11_2	chr19	38454492	38455430	AC008395.1	+	lncRNA	chr19	38397847	38699009	SIPA1L3	+	protein_coding	938	same	722_ID	chr19	38454493	38455430	938	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
10518	ENST00000602874.1_1	ENST00000556551.2_1	chr14	74371969	74372339	AC005520.3	+	lncRNA	chr14	74318673	74398981	AC005520.1	+	nonsense_mediated_decay	370	same	302_ID	chr14	74371970	74372339	370	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	16	21
10546	ENST00000603191.2_3	ENST00000346085.10_6	chr6	157097493	157099556	AL355297.3	-	lncRNA	chr6	157097153	157531913	ARID1B	+	protein_coding	2063	opposite	5324_ID	chr6	157097494	157099556	2063	*	-	Exon	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	2	21
10649	ENST00000605896.1_1	ENST00000274938.8_2	chr6	35188146	35192407	Z97832.2	-	lncRNA	chr6	35181732	35220856	SCUBE3	+	protein_coding	4261	opposite	12970_ID	chr6	35188147	35192407	4261	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
10667	ENST00000606114.1_1	ENST00000260600.9_5	chr2	25048478	25049586	AC012073.1	+	lncRNA	chr2	25042037	25142708	ADCY3	-	protein_coding	1108	opposite	1328_ID	chr2	25048479	25049586	1108	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	15	21
10672	ENST00000606152.1	ENST00000650785.1_1	chr1	146647180	146649319	RP11-337C18.9	+	antisense	chr1	146644940	146767415	AC242426.2	+	lncRNA	2139	same	11892_ID	chr1	146647181	146649319	2139	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
10690	ENST00000606281.1	ENST00000406316.6_5	chr2	51188382	51188471	AC007682.3	+	miRNA	chr2	50145642	51259699	NRXN1	-	protein_coding	89	opposite	635_ID	chr2	51188383	51188471	89	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
10742	ENST00000606802.1_1	ENST00000377022.8_4	chr1	10699297	10714390	AL139423.1	+	lncRNA	chr1	10696660	10856703	CASZ1	-	protein_coding	15093	opposite	5049_ID	chr1	10699298	10714390	15093	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	11	21
10825	ENST00000607525.1	ENST00000465829.6_4	chr7	102120526	102120612	AC093668.3	+	miRNA	chr7	102120422	102158224	RASA4B	-	protein_coding	86	opposite	3234_ID	chr7	102120527	102120612	86	*	+	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21	21
10869	ENST00000607950.1_1	ENST00000409245.5_3	chr2	47183753	47184027	AC093732.2	-	lncRNA	chr2	47143295	47301187	TTC7A	+	protein_coding	274	opposite	3242_ID	chr2	47183754	47184027	274	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	4	21
10895	ENST00000608142.1_1	ENST00000646855.1_1	chr2	87777013	87777553	AC133644.1	-	lncRNA	chr2	87755006	88066878	AC133644.2	+	lncRNA	540	opposite	4117_ID	chr2	87777014	87777553	540	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
10922	ENST00000608436.1_1	ENST00000462833.6_3	chr3	123002439	123002830	AC112503.1	+	lncRNA	chr3	123001142	123167937	ADCY5	-	protein_coding	391	opposite	3826_ID	chr3	123002440	123002830	391	*	+	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21	21
10976	ENST00000609172.1_1	ENST00000496514.6_2	chr4	654997	655734	AC107464.2	-	lncRNA	chr4	619361	664571	PDE6B	+	protein_coding	737	opposite	3695_ID	chr4	654998	655734	737	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	12	21
11092	ENST00000610278.1_1	ENST00000479606.5_2	chr22	21335649	21336044	AC002470.1	-	lncRNA	chr22	21333750	21352410	AC002470.2	+	lncRNA	395	opposite	56_ID	chr22	21335650	21336044	395	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
11207	ENST00000613210.1_1	ENST00000359128.10_4	chr16	3592738	3595513	AC004494.1	+	lncRNA	chr16	3589032	3627404	NLRC3	-	protein_coding	3047	opposite	135_ID	chr16	3592739	3595513	2775	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	17	21
11512	ENST00000620344.1_1	ENST00000678096.1_1	chr17	79664054	79664744	AC139530.3	-	lncRNA	chr17	79650961	79670168	HGS	+	nonsense_mediated_decay	690	opposite	4208_ID	chr17	79664055	79664744	690	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	17	21
11773	ENST00000629240.1_1	ENST00000354212.9_5	chr7	78769144	78806526	AC006355.2	+	lncRNA	chr7	77646371	79082983	MAGI2	-	protein_coding	37382	opposite	456_ID	chr7	78769145	78806526	37382	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
11801	ENST00000631085.2_4	ENST00000354655.8_1	chr10	114168657	114185347	AL157786.1	-	lncRNA	chr10	114133775	114188134	ACSL5	+	protein_coding	29777	opposite	5067_ID	chr10	114168658	114185347	16690	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	7	21
12024	ENST00000647689.1_3	ENST00000354870.5_1	chr8	22045881	22050091	AC105206.3	-	lncRNA	chr8	22022652	22069837	BMP1	+	protein_coding	4210	opposite	3602_ID	chr8	22045882	22050091	4210	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	10	21
12100	ENST00000648775.1_3	ENST00000354212.9_5	chr7	78021942	78078316	AC006043.1	-	lncRNA	chr7	77646371	79082983	MAGI2	-	protein_coding	56374	same	404_ID	chr7	78021943	78078316	56374	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	6	21
12140	ENST00000649515.1_1	ENST00000406316.6_5	chr2	50551780	50572736	AC068725.1	+	lncRNA	chr2	50145642	51259699	NRXN1	-	protein_coding	20956	opposite	2438_ID	chr2	50551781	50572736	20956	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	17	21
12156	ENST00000649975.1_3	ENST00000294484.7_3	chr1	11560859	11562073	AL590989.1	-	lncRNA	chr1	11539211	11597608	DISP3	+	protein_coding	1214	opposite	5785_ID	chr1	11560860	11562073	1214	*	-	Exon	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	2	21
12167	ENST00000650181.1_1	ENST00000318217.10_4	chr17	30822791	30827928	AC079336.5	+	lncRNA	chr17	30819539	31204142	MYO1D	-	protein_coding	5375	opposite	2652_ID	chr17	30822792	30827928	5137	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	21	21
12173	ENST00000650324.1_3	ENST00000646102.1_3	chr13	111800542	111805518	AL353704.1	-	lncRNA	chr13	111767799	111958074	ARHGEF7	+	protein_coding	4976	opposite	5257_ID	chr13	111800543	111805518	4976	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
12225	ENST00000651336.1_3	ENST00000466387.5_3	chr2	79497030	79520004	AC011754.2	-	lncRNA	chr2	79412356	80875904	CTNNA2	+	protein_coding	22974	opposite	1292_ID	chr2	79497031	79520004	22974	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
12265	ENST00000652285.1_3	ENST00000335681.10_2	chr2	101587228	101593517	NPAS2-AS1	-	lncRNA	chr2	101436600	101613291	NPAS2	+	protein_coding	7000	opposite	9285_ID	chr2	101587229	101593517	6289	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	12	21
12308	ENST00000653062.1_1	ENST00000358450.8_4	chr2	178518146	178568213	PDE11A-AS1	+	lncRNA	chr2	178492796	178973066	PDE11A	-	protein_coding	69871	opposite	9521_ID	chr2	178518147	178568213	50067	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	15	21
12346	ENST00000654246.1_3	ENST00000354212.9_5	chr7	78965095	78986910	AC074024.1	-	lncRNA	chr7	77646371	79082983	MAGI2	-	protein_coding	21815	same	2564_ID	chr7	78965096	78986910	21815	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
12415	ENST00000655857.1_1	ENST00000262960.13_3	chr19	4692032	4694352	AC005594.1	+	lncRNA	chr19	4675237	4723875	DPP9	-	protein_coding	2320	opposite	320_ID	chr19	4692033	4694352	2320	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	13	21
12472	ENST00000656982.1_3	ENST00000322350.10_3	chr5	38399915	38403546	EGFLAM-AS2	-	lncRNA	chr5	38258660	38465582	EGFLAM	+	protein_coding	3658	opposite	6875_ID	chr5	38399916	38403546	3631	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	6	21
12480	ENST00000657099.1_3	ENST00000673182.1_3	chr6	154799115	154800727	AL357075.2	+	lncRNA	chr6	154480962	154831248	AL357075.4	-	protein_coding	1612	opposite	5413_ID	chr6	154799116	154800727	1612	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
12760	ENST00000662767.1_1	ENST00000616793.5_6	chr5	147105113	147108027	AC011370.1	+	lncRNA	chr5	146965000	147162291	JAKMIP2	-	protein_coding	2914	opposite	1198_ID	chr5	147105114	147108027	2914	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
12807	ENST00000663725.1_1	ENST00000403045.6_3	chr2	70856788	70875893	AC005234.2	+	lncRNA	chr2	70834749	70995330	ADD2	-	nonsense_mediated_decay	19105	opposite	260_ID	chr2	70856789	70875893	19105	*	+	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	17	21
13061	ENST00000669128.1_1	ENST00000383836.8_7	chr3	9142486	9145762	AC037193.1	+	lncRNA	chr3	9022274	9291330	SRGAP3	-	protein_coding	3276	opposite	2276_ID	chr3	9142487	9145762	3276	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	21
13155	ENST00000671345.1_1	ENST00000406316.6_5	chr2	51238914	51244088	AC007682.1	+	lncRNA	chr2	50145642	51259699	NRXN1	-	protein_coding	5174	opposite	633_ID	chr2	51238915	51244088	5174	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	21
18971	ENST00000384546.1	ENST00000643789.1_4	chr9	99018497	99018601	RNU6-1160P	-	snRNA	chr9	98997633	99114340	AL160269.1	-	nonsense_mediated_decay	104	same	10868_ID	chr9	99018498	99018601	104	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	13	21
25821	ENST00000401223.1	ENST00000273582.9_5	chr3	197401366	197401447	MIR922	-	miRNA	chr3	197398263	197476570	RUBCN	-	protein_coding	81	same	9105_ID	chr3	197401367	197401447	81	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21	21
50661	ENST00000459187.1	ENST00000339995.11_7	chr11	10823013	10823155	SNORD97	-	snoRNA	chr11	10818600	10830473	EIF4G2	-	protein_coding	142	same	12468_ID	chr11	10823014	10823155	142	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	14	21
78471	ENST00000560477.1_3	ENST00000268138.12_3	chr15	90122995	90125528	AC013391.1	-	lncRNA	chr15	90118699	90171254	TICRR	+	protein_coding	2533	opposite	1436_ID	chr15	90122996	90125528	2533	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
90821	ENST00000580775.1	ENST00000461287.1_3	chr6	31668805	31668868	MIR4646	-	miRNA	chr6	31654738	31681849	AL662899.1	-	nonsense_mediated_decay	63	same	8632_ID	chr6	31668806	31668868	63	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	5	21
107321	ENST00000606593.1_1	ENST00000649678.1_3	chr8	38265565	38266260	AC087623.3	-	lncRNA	chr8	38257732	38325225	FGFR1	-	nonsense_mediated_decay	695	same	2839_ID	chr8	38265566	38266260	695	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	19	21
3390	ENST00000414261.1_3	ENST00000248929.14_2	chr22	40768667	40784294	SGSM3-AS1	-	lncRNA	chr22	40766597	40806293	SGSM3	+	protein_coding	15627	opposite	12053_ID	chr22	40768668	40784294	15627	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	21
115671	ENST00000621471.1_1	ENST00000359440.6_6	chr15	81627917	81628460	AC103858.2	+	lncRNA	chr15	81623428	81666554	TMC3	-	protein_coding	543	opposite	3484_ID	chr15	81627918	81628460	543	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	20	21
175	ENST00000265271.7_2	ENST00000506502.2_1	chr5	145583167	145668786	RBM27	+	protein_coding	chr5	145583112	145718814	AC091959.1	+	protein_coding	85619	same	9714_ID	chr5	145583168	145668786	85619	*	+	Exon	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	1	20
220	ENST00000278422.9_2	ENST00000673810.1_1	chr11	57480064	57508445	TMX2	+	protein_coding	chr11	57480055	57585903	AP001931.2	+	nonsense_mediated_decay	28381	same	12748_ID	chr11	57480065	57508445	28381	*	+	Exon	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	1	20
225	ENST00000279249.3_2	ENST00000649896.1_1	chr11	65082336	65089888	CDC42EP2	+	protein_coding	chr11	65029398	65094014	AP000944.5	+	nonsense_mediated_decay	7552	same	6598_ID	chr11	65082337	65089888	7552	*	+	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	18	20
403	ENST00000312019.2_3	ENST00000566228.6_2	chr16	12180602	12184159	AC007601.1	-	lncRNA	chr16	12070590	12668144	SNX29	+	protein_coding	3557	opposite	613_ID	chr16	12180603	12184159	3557	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	11	20
529	ENST00000327876.5_3	ENST00000644092.1_1	chr2	47736428	47798124	KCNK12	-	protein_coding	chr2	47630257	47890285	MSH2	+	nonsense_mediated_decay	61696	opposite	7421_ID	chr2	47736429	47798124	61696	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	16	20
670	ENST00000352271.6_1	ENST00000288642.12_5	chr2	25643985	25650512	DTNB-AS1	+	lncRNA	chr2	25600113	25896516	DTNB	-	protein_coding	6527	opposite	6858_ID	chr2	25643986	25650512	6527	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	15	20
775	ENST00000362183.1	ENST00000543245.6_1	chr17	7126615	7126698	MIR324	-	miRNA	chr17	7120443	7128585	ACADVL	+	protein_coding	83	opposite	8318_ID	chr17	7126616	7126698	83	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	12	20
861	ENST00000362659.1	ENST00000504592.5_3	chr4	102645032	102645137	RNU6-462P	+	snRNA	chr4	102341117	102995969	BANK1	+	protein_coding	105	same	11261_ID	chr4	102645033	102645137	105	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	5	20
919	ENST00000362976.1	ENST00000249344.7_2	chr7	129124344	129124497	RNU1-72P	+	snRNA	chr7	129074272	129128240	STRIP2	+	protein_coding	153	same	10597_ID	chr7	129124345	129124497	153	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	20	20
