"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"
"chr5"	52199983	52216434	"ENSMUST00000197171.1"	"C130083M11Rik"	"-"	"lincRNA"	"chr5"	52190678	52279034	"ENSMUST00000199805.4"	"9230114K14Rik"	"+"	"processed_transcript"	16451	"opposite"
"chr9"	44107244	44109187	"ENSMUST00000114816.7"	"C1qtnf5"	"+"	"protein_coding"	"chr9"	44066326	44113500	"ENSMUST00000162126.7"	"Gm49380"	"-"	"protein_coding"	1943	"opposite"
"chr9"	44107244	44109187	"ENSMUST00000114816.7"	"C1qtnf5"	"+"	"protein_coding"	"chr9"	44095630	44113517	"ENSMUST00000065379.4"	"Rnf26"	"-"	"protein_coding"	1943	"opposite"
"chr8"	122724947	122752325	"ENSMUST00000212444.1"	"C230057M02Rik"	"-"	"lincRNA"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	27378	"opposite"
"chr5"	105580439	105581772	"ENSMUST00000150195.1"	"C230066G23Rik"	"+"	"sense_intronic"	"chr5"	105519387	105613018	"ENSMUST00000067924.12"	"Lrrc8c"	"+"	"protein_coding"	1333	"same"
"chr7"	140837220	140845689	"ENSMUST00000190581.1"	"C330022C24Rik"	"-"	"antisense"	"chr7"	140818086	140856331	"ENSMUST00000209690.1"	"Gm45785"	"-"	"protein_coding"	8469	"same"
"chr12"	29675627	29686445	"ENSMUST00000218114.1"	"C630031E19Rik"	"-"	"antisense"	"chr12"	29528383	29923213	"ENSMUST00000049784.16"	"Myt1l"	"+"	"protein_coding"	10818	"opposite"
"chr11"	68192192	68196153	"ENSMUST00000152781.2"	"C78197"	"-"	"antisense"	"chr11"	67966192	68207148	"ENSMUST00000021285.13"	"Stx8"	"+"	"protein_coding"	3961	"opposite"
"chr9"	96017941	96024740	"ENSMUST00000186632.1"	"C78334"	"-"	"antisense"	"chr9"	95954766	96057803	"ENSMUST00000185633.6"	"Xrn1"	"+"	"protein_coding"	6807	"opposite"
"chr2"	34287770	34304440	"ENSMUST00000131588.2"	"C79798"	"+"	"antisense"	"chr2"	34171456	34372038	"ENSMUST00000113132.8"	"Pbx3"	"-"	"protein_coding"	16670	"opposite"
"chr12"	56591058	56594996	"ENSMUST00000173553.7"	"C87198"	"+"	"lincRNA"	"chr12"	56535342	56607439	"ENSMUST00000182733.7"	"Gm26973"	"+"	"antisense"	3938	"same"
"chrX_GL456233_random"	25189	25788	"ENSMUST00000167421.1"	"CAAA01165726.1"	"+"	"protein_coding"	"chrX_GL456233_random"	10737	39148	"ENSMUST00000051100.6"	"Vamp7"	"-"	"protein_coding"	599	"opposite"
"chr5"	87979438	87981544	"ENSMUST00000008051.4"	"Cabs1"	"+"	"protein_coding"	"chr5"	87969516	88008277	"ENSMUST00000187738.1"	"Gm28434"	"+"	"protein_coding"	2106	"same"
"chr10"	34038783	34044310	"ENSMUST00000048052.6"	"Calhm4"	"-"	"protein_coding"	"chr10"	34037596	34109815	"ENSMUST00000095758.2"	"Trappc3l"	"+"	"protein_coding"	5527	"opposite"
"chr10"	34087814	34096519	"ENSMUST00000069125.7"	"Calhm5"	"-"	"protein_coding"	"chr10"	34037596	34109815	"ENSMUST00000095758.2"	"Trappc3l"	"+"	"protein_coding"	8705	"opposite"
"chr13"	3837756	3838673	"ENSMUST00000042219.5"	"Calm4"	"+"	"protein_coding"	"chr13"	3825518	3843909	"ENSMUST00000220802.1"	"Gm40655"	"+"	"sense_overlapping"	917	"same"
"chr16"	20619214	20621287	"ENSMUST00000052939.2"	"Camk2n2"	"-"	"protein_coding"	"chr16"	20611609	20645920	"ENSMUST00000120394.7"	"Gm49333"	"+"	"protein_coding"	2073	"opposite"
"chr1"	92934375	92947941	"ENSMUST00000027488.10"	"Capn10"	"+"	"protein_coding"	"chr1"	92933525	92950590	"ENSMUST00000191563.1"	"9430060I03Rik"	"-"	"antisense"	13566	"opposite"
"chr8"	92901406	92902411	"ENSMUST00000104947.4"	"Capns2"	"+"	"protein_coding"	"chr8"	92855338	92919279	"ENSMUST00000046290.2"	"Lpcat2"	"+"	"protein_coding"	1005	"same"
"chr8"	121916125	121944904	"ENSMUST00000057653.7"	"Car5a"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	28779	"opposite"
"chr17"	23550964	23555704	"ENSMUST00000182769.9"	"Casp16"	"-"	"polymorphic_pseudogene"	"chr17"	23550798	23565291	"ENSMUST00000233076.1"	"6330415G19Rik"	"+"	"antisense"	4740	"opposite"
"chr6"	17306334	17341324	"ENSMUST00000007799.12"	"Cav1"	"+"	"protein_coding"	"chr6"	17206822	17385604	"ENSMUST00000131334.1"	"Gm15581"	"-"	"antisense"	35118	"opposite"
"chr6"	17281184	17289115	"ENSMUST00000000058.6"	"Cav2"	"+"	"protein_coding"	"chr6"	17206822	17385604	"ENSMUST00000131334.1"	"Gm15581"	"-"	"antisense"	7931	"opposite"
"chr1"	51289125	51302960	"ENSMUST00000051572.7"	"Cavin2"	"+"	"protein_coding"	"chr1"	51218385	51333779	"ENSMUST00000189867.1"	"9330175M20Rik"	"-"	"antisense"	13835	"opposite"
"chr8"	122625140	122699109	"ENSMUST00000127984.8"	"Cbfa2t3"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	73969	"opposite"
"chr8"	87468404	87472609	"ENSMUST00000034076.15"	"Cbln1"	"-"	"protein_coding"	"chr8"	87460468	87525552	"ENSMUST00000210935.1"	"Gm2694"	"+"	"lincRNA"	4205	"opposite"
"chr6"	83106607	83109054	"ENSMUST00000125657.1"	"Ccdc142os"	"-"	"antisense"	"chr6"	83101616	83109939	"ENSMUST00000101253.5"	"Gm42688"	"+"	"protein_coding"	2447	"opposite"
"chr2"	25608634	25617678	"ENSMUST00000028309.3"	"Ccdc183"	"-"	"protein_coding"	"chr2"	25607891	25631758	"ENSMUST00000155684.7"	"Fcnaos"	"+"	"antisense"	9044	"opposite"
"chr4"	117866523	117872229	"ENSMUST00000164853.7"	"Ccdc24"	"-"	"protein_coding"	"chr4"	117835332	117875196	"ENSMUST00000149168.1"	"Slc6a9"	"+"	"protein_coding"	6034	"opposite"
"chr4"	129619273	129623947	"ENSMUST00000030586.14"	"Ccdc28b"	"-"	"protein_coding"	"chr4"	129600690	129624059	"ENSMUST00000174073.7"	"Tmem234"	"+"	"protein_coding"	4674	"opposite"
"chr2"	110031250	110050479	"ENSMUST00000123633.1"	"Ccdc34os"	"-"	"antisense"	"chr2"	110017961	110173360	"ENSMUST00000150183.8"	"Ccdc34"	"+"	"protein_coding"	19230	"opposite"
"chr10"	97693058	97694923	"ENSMUST00000060703.5"	"Ccer1"	"+"	"protein_coding"	"chr10"	97681413	97967090	"ENSMUST00000220233.1"	"Gm10754"	"-"	"lincRNA"	1865	"opposite"
"chr11"	82035570	82037453	"ENSMUST00000000193.5"	"Ccl2"	"+"	"protein_coding"	"chr11"	82028223	82038562	"ENSMUST00000171515.1"	"Gm17268"	"-"	"protein_coding"	1883	"opposite"
"chr4"	41903609	41904743	"ENSMUST00000098128.3"	"Ccl21d"	"+"	"protein_coding"	"chr4"	41893277	41942092	"ENSMUST00000141375.7"	"Gm13307"	"-"	"antisense"	1134	"opposite"
"chr11"	83587881	83593087	"ENSMUST00000019071.3"	"Ccl6"	"-"	"protein_coding"	"chr11"	83582055	83623693	"ENSMUST00000125626.1"	"E230016K23Rik"	"+"	"processed_transcript"	5206	"opposite"
"chr9"	72979721	72985376	"ENSMUST00000124565.2"	"Ccpg1os"	"-"	"protein_coding"	"chr9"	72958851	73016319	"ENSMUST00000149692.1"	"Gm44503"	"+"	"protein_coding"	5661	"opposite"
"chr11"	101172996	101175443	"ENSMUST00000062759.3"	"Ccr10"	"-"	"protein_coding"	"chr11"	101170522	101178316	"ENSMUST00000138942.1"	"Cntnap1"	"+"	"protein_coding"	2447	"opposite"
"chr8"	123840843	123860209	"ENSMUST00000122421.1"	"Ccsap"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	19379	"opposite"
"chr6"	125232621	125237010	"ENSMUST00000032486.12"	"Cd27"	"-"	"protein_coding"	"chr6"	125215580	125241249	"ENSMUST00000063588.10"	"Vamp1"	"+"	"protein_coding"	4389	"opposite"
"chr11"	115116213	115133992	"ENSMUST00000051264.13"	"Cd300lf"	"-"	"protein_coding"	"chr11"	115091430	115162236	"ENSMUST00000067754.10"	"Rab37"	"+"	"protein_coding"	17779	"opposite"
"chr11"	121036746	121039418	"ENSMUST00000026159.5"	"Cd7"	"-"	"protein_coding"	"chr11"	121029401	121052357	"ENSMUST00000136500.2"	"Gm11775"	"+"	"antisense"	2672	"opposite"
"chr7"	131174420	131306451	"ENSMUST00000208921.3"	"Cdcp3"	"+"	"protein_coding"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	132050	"opposite"
"chr8"	122847965	122867397	"ENSMUST00000034443.6"	"Cdh15"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	19432	"same"
"chr8"	123224841	123232250	"ENSMUST00000036880.7"	"Cdk10"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	7409	"same"
"chr10"	40348507	40350103	"ENSMUST00000143103.1"	"Cdk19os"	"-"	"antisense"	"chr10"	40339563	40480868	"ENSMUST00000216736.1"	"Cdk19"	"+"	"protein_coding"	1596	"opposite"
"chr1"	74854933	74857732	"ENSMUST00000160379.3"	"Cdk5r2"	"+"	"protein_coding"	"chr1"	74850894	74879953	"ENSMUST00000159627.1"	"Gm16582"	"+"	"processed_transcript"	2799	"same"
"chrX"	61184004	61185558	"ENSMUST00000166381.2"	"Cdr1"	"-"	"protein_coding"	"chrX"	61116377	61292484	"ENSMUST00000232361.1"	"BX322656.1"	"+"	"processed_transcript"	1554	"opposite"
"chrX"	61184004	61185558	"ENSMUST00000166381.2"	"Cdr1"	"-"	"protein_coding"	"chrX"	61116385	61203785	"ENSMUST00000231449.1"	"Cdr1os"	"+"	"lincRNA"	1554	"opposite"
"chr8"	122568025	122573554	"ENSMUST00000212967.1"	"Cdt1"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	5540	"same"
"chr7"	25461706	25477603	"ENSMUST00000098666.8"	"Ceacam1"	"-"	"protein_coding"	"chr7"	25395413	25566417	"ENSMUST00000206300.1"	"4732471J01Rik"	"+"	"antisense"	15897	"opposite"
"chr7"	25516041	25539857	"ENSMUST00000064862.12"	"Ceacam2"	"-"	"protein_coding"	"chr7"	25395413	25566417	"ENSMUST00000206300.1"	"4732471J01Rik"	"+"	"antisense"	23816	"opposite"
"chr2"	131175181	131180067	"ENSMUST00000089510.4"	"Cenpb"	"-"	"protein_coding"	"chr2"	131170260	131187282	"ENSMUST00000028801.7"	"Spef1"	"-"	"protein_coding"	4886	"same"
"chr11"	108820332	108826942	"ENSMUST00000143781.1"	"Cep112it"	"+"	"sense_intronic"	"chr11"	108425191	108860615	"ENSMUST00000150863.8"	"Cep112"	"+"	"protein_coding"	6610	"same"
"chr11"	108529096	108533664	"ENSMUST00000137907.1"	"Cep112os1"	"-"	"antisense"	"chr11"	108425191	108860615	"ENSMUST00000150863.8"	"Cep112"	"+"	"protein_coding"	4568	"opposite"
"chr11"	118332359	118342500	"ENSMUST00000103024.3"	"Cep295nl"	"-"	"protein_coding"	"chr11"	118301068	118355506	"ENSMUST00000017610.9"	"Timp2"	"-"	"protein_coding"	10141	"same"
"chr11"	30976706	30986350	"ENSMUST00000101394.4"	"Chac2"	"-"	"protein_coding"	"chr11"	30885415	31101333	"ENSMUST00000203878.2"	"Asb3"	"+"	"protein_coding"	9644	"opposite"
"chr11"	94565046	94569127	"ENSMUST00000040418.8"	"Chad"	"+"	"protein_coding"	"chr11"	94557101	94601871	"ENSMUST00000103164.3"	"Acsf2"	"-"	"protein_coding"	4081	"opposite"
"chr5"	129881155	129887470	"ENSMUST00000094280.3"	"Chchd2"	"-"	"protein_coding"	"chr5"	129866977	129898549	"ENSMUST00000140667.1"	"Phkg1"	"-"	"protein_coding"	6315	"same"
"chr8"	123204263	123212760	"ENSMUST00000000759.8"	"Chmp1a"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	8500	"opposite"
"chr18"	67205365	67207889	"ENSMUST00000210564.2"	"Chmp1b"	"+"	"protein_coding"	"chr18"	67088215	67226792	"ENSMUST00000025402.14"	"Gnal"	"+"	"protein_coding"	2524	"same"
"chr2"	73658269	73660263	"ENSMUST00000123613.1"	"Chn1os1"	"+"	"antisense"	"chr2"	73610659	73775346	"ENSMUST00000112024.9"	"Chn1"	"-"	"protein_coding"	1994	"opposite"
"chr7"	132235779	132317228	"ENSMUST00000080215.5"	"Chst15"	"-"	"protein_coding"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	81449	"same"
"chr3"	95878504	95882231	"ENSMUST00000036418.9"	"Ciart"	"-"	"protein_coding"	"chr3"	95871524	95889093	"ENSMUST00000120398.1"	"C920021L13Rik"	"+"	"antisense"	3749	"opposite"
"chr17"	3532553	3533213	"ENSMUST00000168560.1"	"Cldn20"	"+"	"protein_coding"	"chr17"	3519255	3557781	"ENSMUST00000041003.7"	"Tfb1m"	"-"	"protein_coding"	660	"opposite"
"chr8"	47824481	47825476	"ENSMUST00000038693.7"	"Cldn22"	"+"	"protein_coding"	"chr8"	47823958	47990551	"ENSMUST00000057561.8"	"Wwc2"	"-"	"protein_coding"	995	"opposite"
"chr2"	25456837	25458776	"ENSMUST00000114265.8"	"Clic3"	"+"	"protein_coding"	"chr2"	25455140	25460952	"ENSMUST00000133919.7"	"Paxx"	"-"	"protein_coding"	1939	"opposite"
"chr5"	38735982	38747897	"ENSMUST00000114080.8"	"Clnkos"	"+"	"antisense"	"chr5"	38706461	38876812	"ENSMUST00000169819.4"	"Clnk"	"-"	"protein_coding"	11915	"opposite"
"chr1"	74506057	74530842	"ENSMUST00000087215.6"	"Cnot9"	"+"	"protein_coding"	"chr1"	74437729	74544284	"ENSMUST00000189257.6"	"Usp37"	"-"	"protein_coding"	24785	"opposite"
"chr10"	34389980	34397085	"ENSMUST00000105511.1"	"Col10a1"	"+"	"protein_coding"	"chr10"	34303608	34418552	"ENSMUST00000047885.13"	"Nt5dc1"	"-"	"protein_coding"	7105	"opposite"
"chr12"	81359025	81485110	"ENSMUST00000110340.8"	"Cox16"	"-"	"protein_coding"	"chr12"	81358859	81532905	"ENSMUST00000164386.7"	"Gm20498"	"-"	"protein_coding"	126102	"same"
"chr8"	120668221	120674207	"ENSMUST00000034276.12"	"Cox4i1"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	5986	"same"
"chr7"	128205434	128206387	"ENSMUST00000033049.8"	"Cox6a2"	"-"	"protein_coding"	"chr7"	128203873	128223816	"ENSMUST00000176249.1"	"Itgad"	"+"	"protein_coding"	953	"opposite"
"chr8"	123117373	123135180	"ENSMUST00000134235.7"	"Cpne7"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	17809	"same"
"chr7"	132042815	132154739	"ENSMUST00000033149.4"	"Cpxm2"	"-"	"protein_coding"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	122053	"same"
"chr8"	119992437	120052793	"ENSMUST00000132583.7"	"Crispld2"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	60356	"same"
"chr17"	31677806	31681733	"ENSMUST00000228716.2"	"Cryaa"	"+"	"protein_coding"	"chr17"	31676788	31682817	"ENSMUST00000236145.1"	"Gm50222"	"-"	"antisense"	3927	"opposite"
"chr11"	77718626	77725283	"ENSMUST00000078623.4"	"Cryba1"	"-"	"protein_coding"	"chr11"	77686171	77741921	"ENSMUST00000181023.1"	"Nufip2"	"+"	"protein_coding"	6669	"opposite"
"chr16"	91689321	91728975	"ENSMUST00000073466.12"	"Cryzl1"	"-"	"protein_coding"	"chr16"	91684397	91926982	"ENSMUST00000159295.7"	"Atp5o"	"-"	"protein_coding"	39654	"same"
"chr10"	99757705	99759658	"ENSMUST00000056085.5"	"Csl"	"-"	"protein_coding"	"chr10"	99719142	99891158	"ENSMUST00000222959.1"	"Gm47578"	"+"	"antisense"	1953	"opposite"
"chr4"	128133522	128166967	"ENSMUST00000179945.2"	"Csmd2os"	"-"	"antisense"	"chr4"	127988043	128567656	"ENSMUST00000184063.2"	"Csmd2"	"+"	"protein_coding"	33445	"opposite"
"chr5"	87925578	87932665	"ENSMUST00000001667.12"	"Csn3"	"+"	"protein_coding"	"chr5"	87908578	87979351	"ENSMUST00000190123.1"	"1700066N21Rik"	"-"	"antisense"	7087	"opposite"
"chr9"	119971162	119984443	"ENSMUST00000035101.8"	"Csrnp1"	"-"	"protein_coding"	"chr9"	119901615	120068283	"ENSMUST00000177637.1"	"Cx3cr1"	"-"	"protein_coding"	13496	"same"
"chr19"	31082836	31087069	"ENSMUST00000066039.7"	"Cstf2t"	"+"	"protein_coding"	"chr19"	30564488	31765033	"ENSMUST00000065067.13"	"Prkg1"	"-"	"protein_coding"	4233	"opposite"
"chr13"	60895354	60897447	"ENSMUST00000021884.9"	"Ctla2b"	"-"	"protein_coding"	"chr13"	60853229	60935590	"ENSMUST00000225382.1"	"Gm49393"	"-"	"protein_coding"	2098	"same"
"chr8"	122476208	122484138	"ENSMUST00000151855.7"	"Ctu2"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	7996	"same"
"chr18"	57468515	57478133	"ENSMUST00000091892.3"	"Ctxn3"	"+"	"protein_coding"	"chr18"	57373454	57552201	"ENSMUST00000130696.7"	"4930511M06Rik"	"-"	"antisense"	9618	"opposite"
"chr7"	131308553	131322292	"ENSMUST00000046611.8"	"Cuzd1"	"-"	"protein_coding"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	13739	"same"
"chr5"	92346637	92348882	"ENSMUST00000038816.12"	"Cxcl10"	"-"	"protein_coding"	"chr5"	92331840	92414628	"ENSMUST00000121096.7"	"Art3"	"+"	"protein_coding"	2252	"opposite"
"chr5"	92359543	92365485	"ENSMUST00000122808.1"	"Cxcl11"	"-"	"polymorphic_pseudogene"	"chr5"	92331840	92414628	"ENSMUST00000121096.7"	"Art3"	"+"	"protein_coding"	5942	"opposite"
"chr7"	25400052	25412886	"ENSMUST00000074040.3"	"Cxcl17"	"-"	"protein_coding"	"chr7"	25395413	25566417	"ENSMUST00000206300.1"	"4732471J01Rik"	"+"	"antisense"	12834	"opposite"
"chr9"	123806474	123811756	"ENSMUST00000049810.8"	"Cxcr6"	"+"	"protein_coding"	"chr9"	123789509	123851899	"ENSMUST00000167595.8"	"Fyco1"	"-"	"protein_coding"	5286	"opposite"
"chr8"	122424775	122432930	"ENSMUST00000017604.9"	"Cyba"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	8155	"opposite"
"chr9"	24625195	24625824	"ENSMUST00000053956.7"	"Cypt4"	"+"	"protein_coding"	"chr9"	24557046	24696293	"ENSMUST00000133010.3"	"Dpy19l2"	"-"	"protein_coding"	629	"opposite"
"chr13"	98798610	98801410	"ENSMUST00000223763.1"	"D130062J10Rik"	"-"	"sense_intronic"	"chr13"	98723402	98815449	"ENSMUST00000040340.15"	"Fcho2"	"-"	"protein_coding"	2800	"same"
"chr5"	142874076	142878373	"ENSMUST00000181842.1"	"D430018E03Rik"	"-"	"sense_intronic"	"chr5"	142866945	142895421	"ENSMUST00000110766.7"	"Fbxl18"	"-"	"protein_coding"	4297	"same"
"chr3"	145419325	145420352	"ENSMUST00000199255.1"	"D530037P16Rik"	"+"	"sense_overlapping"	"chr3"	145292471	145552011	"ENSMUST00000029848.4"	"Col24a1"	"+"	"protein_coding"	1027	"same"
"chr1"	106541942	106575045	"ENSMUST00000149909.1"	"D630008O14Rik"	"+"	"antisense"	"chr1"	106538177	106714274	"ENSMUST00000112751.1"	"Bcl2"	"-"	"protein_coding"	33103	"opposite"
"chr17"	73635590	73640220	"ENSMUST00000160562.1"	"D630014O11Rik"	"-"	"sense_intronic"	"chr17"	73493227	73710451	"ENSMUST00000024858.11"	"Galnt14"	"-"	"protein_coding"	4630	"same"
"chr10"	116964739	116967582	"ENSMUST00000176455.7"	"D630029K05Rik"	"+"	"lincRNA"	"chr10"	116956823	116972609	"ENSMUST00000092165.4"	"Gm10271"	"-"	"protein_coding"	4399	"opposite"
"chr18"	74017906	74020088	"ENSMUST00000159260.1"	"D730045A05Rik"	"+"	"lincRNA"	"chr18"	73928485	74064929	"ENSMUST00000091851.9"	"Mapk4"	"-"	"protein_coding"	2182	"opposite"
"chr10"	33222344	33256357	"ENSMUST00000217716.1"	"D830005E20Rik"	"-"	"antisense"	"chr10"	33083482	33476709	"ENSMUST00000095762.4"	"Trdn"	"+"	"protein_coding"	34074	"opposite"
"chr8"	83576043	83585919	"ENSMUST00000212132.1"	"D830024N08Rik"	"+"	"antisense"	"chr8"	83573098	83607971	"ENSMUST00000211972.1"	"Tecr"	"-"	"protein_coding"	9876	"opposite"
"chr14"	3208576	3234351	"ENSMUST00000112797.11"	"D830030K20Rik"	"+"	"protein_coding"	"chr14"	3186100	3262317	"ENSMUST00000165178.7"	"Gm17188"	"-"	"processed_transcript"	25864	"opposite"
"chr2"	92408891	92432308	"ENSMUST00000126002.1"	"D930015M05Rik"	"+"	"processed_transcript"	"chr2"	92403645	92434043	"ENSMUST00000090559.11"	"Cry2"	"-"	"protein_coding"	23417	"opposite"
"chr7"	25152456	25156627	"ENSMUST00000098678.7"	"D930028M14Rik"	"+"	"lincRNA"	"chr7"	25120617	25179726	"ENSMUST00000175754.3"	"Pou2f2"	"-"	"protein_coding"	4171	"opposite"
"chr11"	76217607	76218666	"ENSMUST00000040806.4"	"Dbil5"	"+"	"protein_coding"	"chr11"	76120986	76243675	"ENSMUST00000169532.7"	"Glod4"	"-"	"protein_coding"	1059	"opposite"
"chr8"	123504717	123515455	"ENSMUST00000176286.7"	"Dbndd1"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	10746	"opposite"
"chr4"	129608330	129614257	"ENSMUST00000179209.7"	"Dcdc2b"	"-"	"protein_coding"	"chr4"	129600690	129624059	"ENSMUST00000174073.7"	"Tmem234"	"+"	"protein_coding"	5927	"opposite"
"chr17"	23917457	23919441	"ENSMUST00000115428.1"	"Dcpp3"	"+"	"protein_coding"	"chr17"	23902565	23925497	"ENSMUST00000234950.1"	"Gm41545"	"-"	"lincRNA"	1984	"opposite"
"chr4"	41714797	41723170	"ENSMUST00000030158.10"	"Dctn3"	"-"	"protein_coding"	"chr4"	41699988	41769474	"ENSMUST00000108041.7"	"Il11ra1"	"+"	"protein_coding"	8373	"opposite"
"chr9"	6262732	6269846	"ENSMUST00000051706.5"	"Ddi1"	"-"	"protein_coding"	"chr9"	6168583	6378845	"ENSMUST00000058692.8"	"Pdgfd"	"+"	"protein_coding"	7114	"opposite"
"chr8"	106009620	106011882	"ENSMUST00000058579.6"	"Ddx28"	"-"	"protein_coding"	"chr8"	105991336	106015842	"ENSMUST00000142898.1"	"Dus2"	"+"	"protein_coding"	2262	"opposite"
"chr8"	123423526	123452793	"ENSMUST00000212883.1"	"Def8"	"+"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	39744	"same"
"chr8"	21929798	21932710	"ENSMUST00000062586.2"	"Defb15"	"-"	"protein_coding"	"chr8"	21906663	21934313	"ENSMUST00000212313.1"	"Gm36879"	"+"	"antisense"	2912	"opposite"
"chr6"	116650608	116652794	"ENSMUST00000067354.9"	"Depp1"	"+"	"protein_coding"	"chr6"	116633007	116673952	"ENSMUST00000035842.6"	"Rassf4"	"-"	"protein_coding"	2186	"opposite"
"chr2"	71528112	71533980	"ENSMUST00000037119.3"	"Dlx1"	"+"	"protein_coding"	"chr2"	71527838	71537810	"ENSMUST00000143767.1"	"Dlx1as"	"-"	"antisense"	5869	"opposite"
"chr6"	6863333	6868568	"ENSMUST00000160937.8"	"Dlx6"	"+"	"protein_coding"	"chr6"	6820542	6871592	"ENSMUST00000159568.5"	"Dlx6os1"	"-"	"antisense"	5235	"opposite"
"chr7"	131032045	131121628	"ENSMUST00000084509.5"	"Dmbt1"	"+"	"protein_coding"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	89583	"opposite"
"chr5"	144357922	144361048	"ENSMUST00000197311.1"	"Dmrt1i"	"+"	"sense_intronic"	"chr5"	144255224	144446757	"ENSMUST00000155491.7"	"Bri3"	"+"	"protein_coding"	3126	"same"
"chr11"	69448547	69453676	"ENSMUST00000124108.1"	"Dnah2os"	"+"	"antisense"	"chr11"	69420808	69549108	"ENSMUST00000108659.1"	"Dnah2"	"-"	"protein_coding"	5129	"opposite"
"chr17"	30624353	30875264	"ENSMUST00000170651.1"	"Dnah8"	"+"	"protein_coding"	"chr17"	30459501	30923831	"ENSMUST00000235858.1"	"Gm50252"	"-"	"processed_transcript"	253012	"opposite"
"chr1"	88204731	88205782	"ENSMUST00000119972.3"	"Dnajb3"	"-"	"protein_coding"	"chr1"	88055392	88218584	"ENSMUST00000173165.1"	"Gm20528"	"-"	"processed_transcript"	1051	"same"
"chr15"	81406925	81408299	"ENSMUST00000057236.4"	"Dnajb7"	"-"	"protein_coding"	"chr15"	81400137	81457482	"ENSMUST00000163754.8"	"Xpnpep3"	"+"	"protein_coding"	1374	"opposite"
"chr16"	91614253	91618999	"ENSMUST00000049244.9"	"Dnajc28"	"-"	"protein_coding"	"chr16"	91611467	91623861	"ENSMUST00000138207.1"	"Gm15964"	"+"	"antisense"	4773	"opposite"
"chr3"	146580984	146615596	"ENSMUST00000200633.1"	"Dnase2b"	"-"	"protein_coding"	"chr3"	146570425	146625881	"ENSMUST00000199489.4"	"Uox"	"+"	"protein_coding"	34612	"opposite"
"chr1"	162217622	162225550	"ENSMUST00000139662.1"	"Dnm3os"	"+"	"antisense"	"chr1"	161987301	162478034	"ENSMUST00000086074.11"	"Dnm3"	"-"	"protein_coding"	7928	"opposite"
"chr12"	3859292	3862244	"ENSMUST00000144896.1"	"Dnmt3aos"	"-"	"antisense"	"chr12"	3807029	3914443	"ENSMUST00000020991.14"	"Dnmt3a"	"+"	"protein_coding"	2952	"opposite"
"chr3"	122274387	122285271	"ENSMUST00000035776.9"	"Dnttip2"	"+"	"protein_coding"	"chr3"	122255957	122293547	"ENSMUST00000072769.6"	"Gm17494"	"-"	"processed_transcript"	10884	"opposite"
"chr2"	30284230	30286334	"ENSMUST00000100219.4"	"Dolk"	"-"	"protein_coding"	"chr2"	30281042	30301078	"ENSMUST00000143119.2"	"Gm28038"	"+"	"protein_coding"	2104	"opposite"
