"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"
"3067"	"chr7"	5459476	5462753	"ENST00000455866.1_1"	"AC092171.1"	"+"	"lncRNA"	"chr7"	5346420	5463177	"ENST00000399537.8_3"	"TNRC18"	"-"	"protein_coding"	3277	"opposite"	"3067_ID"
"3068"	"chr7"	5515434	5519442	"ENST00000444210.2_1"	"AC092171.2"	"+"	"lncRNA"	"chr7"	5470965	5553383	"ENST00000415009.5_3"	"FBXL18"	"-"	"nonsense_mediated_decay"	4008	"opposite"	"3068_ID"
"3069"	"chr7"	39333905	39334005	"ENST00000582398.1"	"AC092174.1"	"-"	"miRNA"	"chr7"	39017508	39508200	"ENST00000518318.7_4"	"POU6F2"	"+"	"protein_coding"	100	"opposite"	"3069_ID"
"3070"	"chr16"	85260808	85342782	"ENST00000653746.1_1"	"AC092275.1"	"+"	"lncRNA"	"chr16"	85203130	85667738	"ENST00000637419.1_3"	"GSE1"	"+"	"protein_coding"	81974	"same"	"3070_ID"
"3071"	"chr16"	72613440	72613536	"ENST00000408359.1"	"AC092289.1"	"-"	"miRNA"	"chr16"	72316106	72698846	"ENST00000624829.4_4"	"LINC01572"	"-"	"lncRNA"	96	"same"	"3071_ID"
"3072"	"chr16"	14564841	14565054	"ENST00000599734.1"	"AC092291.2"	"+"	"protein_coding"	"chr16"	14529556	14724117	"ENST00000651865.1_3"	"PARN"	"-"	"protein_coding"	213	"opposite"	"3072_ID"
"3073"	"chr19"	36797985	36812176	"ENST00000660925.1_3"	"AC092296.2"	"+"	"lncRNA"	"chr19"	36753161	36812226	"ENST00000675324.1_1"	"LINC00665"	"-"	"lncRNA"	16711	"opposite"	"3073_ID"
"3074"	"chr19"	46333421	46334366	"ENST00000601618.1_1"	"AC092301.1"	"+"	"lncRNA"	"chr19"	46318667	46366405	"ENST00000245934.12_4"	"SYMPK"	"-"	"protein_coding"	945	"opposite"	"3074_ID"
"3075"	"chr19"	8614389	8615023	"ENST00000598703.1_1"	"AC092316.1"	"+"	"lncRNA"	"chr19"	8585680	8642461	"ENST00000613525.4_3"	"MYO1F"	"-"	"protein_coding"	634	"opposite"	"3075_ID"
"3076"	"chr19"	8611742	8611812	"ENST00000581156.1"	"AC092316.2"	"+"	"miRNA"	"chr19"	8585680	8642461	"ENST00000613525.4_3"	"MYO1F"	"-"	"protein_coding"	70	"opposite"	"3076_ID"
"3077"	"chr16"	86380992	86383217	"ENST00000595705.1_1"	"AC092327.2"	"+"	"lncRNA"	"chr16"	86365449	86383294	"ENST00000656700.1_3"	"LINC00917"	"-"	"lncRNA"	2225	"opposite"	"3077_ID"
"3078"	"chr16"	80661447	80662276	"ENST00000563684.1_1"	"AC092332.1"	"-"	"lncRNA"	"chr16"	80631803	80838495	"ENST00000570137.7_5"	"CDYL2"	"-"	"protein_coding"	38013	"same"	"3078_ID"
"3079"	"chr16"	22376441	22380368	"ENST00000566764.1_1"	"AC092338.1"	"+"	"lncRNA"	"chr16"	22360692	22444986	"ENST00000563573.5_3"	"CDR2"	"-"	"protein_coding"	3927	"opposite"	"3079_ID"
"3080"	"chr16"	22386207	22389501	"ENST00000567158.1_1"	"AC092338.2"	"+"	"lncRNA"	"chr16"	22360692	22444986	"ENST00000563573.5_3"	"CDR2"	"-"	"protein_coding"	3322	"opposite"	"3080_ID"
"3081"	"chr5"	58335587	58359330	"ENST00000500224.2_2"	"AC092343.1"	"+"	"lncRNA"	"chr5"	58270483	59783903	"ENST00000502484.6_5"	"PDE4D"	"-"	"protein_coding"	23743	"opposite"	"3081_ID"
"3082"	"chr19"	21935812	21935885	"ENST00000579465.1"	"AC092364.2"	"+"	"miRNA"	"chr19"	21905572	21950381	"ENST00000358296.11_6"	"ZNF100"	"-"	"protein_coding"	73	"opposite"	"3082_ID"
"3083"	"chr16"	79236520	79240636	"ENST00000622621.1_1"	"AC092376.2"	"-"	"lncRNA"	"chr16"	78133550	79246564	"ENST00000402655.6_1"	"WWOX"	"+"	"protein_coding"	4116	"opposite"	"3083_ID"
"3084"	"chr16"	79242389	79245161	"ENST00000649926.1_3"	"AC092376.3"	"-"	"lncRNA"	"chr16"	78133550	79246564	"ENST00000402655.6_1"	"WWOX"	"+"	"protein_coding"	2772	"opposite"	"3084_ID"
"3085"	"chr16"	85378876	85386567	"ENST00000653751.1_3"	"AC092377.1"	"-"	"lncRNA"	"chr16"	85203130	85667738	"ENST00000637419.1_3"	"GSE1"	"+"	"protein_coding"	96222	"opposite"	"3085_ID"
"3086"	"chr16"	58881618	58914255	"ENST00000662590.1_3"	"AC092378.1"	"-"	"lncRNA"	"chr16"	58783570	59233299	"ENST00000657379.1_1"	"AC106793.1"	"+"	"lncRNA"	32637	"opposite"	"3086_ID"
"3087"	"chr16"	13137328	13137433	"ENST00000580895.1"	"AC092380.1"	"+"	"miRNA"	"chr16"	12995454	13334273	"ENST00000558583.3_3"	"SHISA9"	"+"	"protein_coding"	105	"same"	"3087_ID"
"3088"	"chr16"	89006196	89017932	"ENST00000378347.2_1"	"AC092384.1"	"+"	"lncRNA"	"chr16"	88941265	89043615	"ENST00000268679.9_5"	"CBFA2T3"	"-"	"protein_coding"	11736	"opposite"	"3088_ID"
"3089"	"chr16"	88949679	88953544	"ENST00000565053.1_1"	"AC092384.2"	"+"	"lncRNA"	"chr16"	88941265	89043615	"ENST00000268679.9_5"	"CBFA2T3"	"-"	"protein_coding"	6099	"opposite"	"3089_ID"
"3090"	"chr16"	89003186	89006059	"ENST00000564646.1_1"	"AC092384.3"	"-"	"lncRNA"	"chr16"	88941265	89043615	"ENST00000268679.9_5"	"CBFA2T3"	"-"	"protein_coding"	2873	"same"	"3090_ID"
"3091"	"chr7"	4765070	4768352	"ENST00000658333.1_1"	"AC092428.1"	"+"	"lncRNA"	"chr7"	4721925	4811073	"ENST00000328914.5_2"	"FOXK1"	"+"	"protein_coding"	3282	"same"	"3091_ID"
"3092"	"chr2"	69927323	69940979	"ENST00000415342.1_3"	"AC092431.1"	"-"	"lncRNA"	"chr2"	69871556	70008692	"ENST00000418066.2_1"	"ANXA4"	"+"	"processed_transcript"	13656	"opposite"	"3092_ID"
"3093"	"chr4"	147855152	147866623	"ENST00000515530.1_1"	"AC092435.2"	"+"	"lncRNA"	"chr4"	147627789	147866984	"ENST00000513335.5_3"	"TTC29"	"-"	"protein_coding"	11471	"opposite"	"3093_ID"
"3094"	"chr4"	25771887	25775199	"ENST00000510905.1_1"	"AC092436.3"	"+"	"lncRNA"	"chr4"	25749054	25865217	"ENST00000264868.9_5"	"SEL1L3"	"-"	"protein_coding"	3312	"opposite"	"3094_ID"
"3095"	"chr4"	6066703	6071889	"ENST00000636216.1_5"	"AC092442.1"	"-"	"protein_coding"	"chr4"	6027929	6202282	"ENST00000409371.8_4"	"JAKMIP1"	"-"	"protein_coding"	5186	"same"	"3095_ID"
"3096"	"chr4"	6066703	6071889	"ENST00000636216.1_5"	"AC092442.1"	"-"	"protein_coding"	"chr4"	5958844	6202282	"ENST00000531445.3_8"	"C4orf50"	"-"	"protein_coding"	5186	"same"	"3096_ID"
"3097"	"chr4"	6955015	6955101	"ENST00000580502.1"	"AC092463.1"	"+"	"miRNA"	"chr4"	6911170	7034845	"ENST00000448507.5_2"	"TBC1D14"	"+"	"protein_coding"	86	"same"	"3097_ID"
"3098"	"chr3"	115377379	115380126	"ENST00000491321.1_1"	"AC092468.1"	"+"	"lncRNA"	"chr3"	115342356	115440337	"ENST00000393780.3_3"	"GAP43"	"+"	"protein_coding"	2747	"same"	"3098_ID"
"3099"	"chr12"	8940869	8948385	"ENST00000514568.2_1"	"AC092490.1"	"+"	"lncRNA"	"chr12"	8928814	8983543	"ENST00000537288.1_3"	"A2ML1-AS1"	"-"	"lncRNA"	7537	"opposite"	"3099_ID"
"3100"	"chr4"	1161565	1161962	"ENST00000609548.1_2"	"AC092535.5"	"+"	"lncRNA"	"chr4"	1160724	1202750	"ENST00000617421.4_3"	"SPON2"	"-"	"protein_coding"	397	"opposite"	"3100_ID"
"3101"	"chr4"	80517695	80518327	"ENST00000513155.1_1"	"AC092542.1"	"+"	"lncRNA"	"chr4"	80413746	80544633	"ENST00000668018.1_1"	"LINC00989"	"+"	"lncRNA"	632	"same"	"3101_ID"
"3102"	"chr2"	63053198	63085573	"ENST00000452397.1_3"	"AC092567.1"	"-"	"lncRNA"	"chr2"	62900985	63272732	"ENST00000405015.7_2"	"EHBP1"	"+"	"protein_coding"	32375	"opposite"	"3102_ID"
"3103"	"chr2"	63044898	63046841	"ENST00000657432.1_3"	"AC092567.2"	"-"	"lncRNA"	"chr2"	62900985	63272732	"ENST00000405015.7_2"	"EHBP1"	"+"	"protein_coding"	1943	"opposite"	"3103_ID"
"3104"	"chr4"	409906	410326	"ENST00000609771.1_1"	"AC092574.1"	"-"	"lncRNA"	"chr4"	379962	447859	"ENST00000631198.1_1"	"AC092574.2"	"+"	"lncRNA"	6729	"opposite"	"3104_ID"
"3105"	"chr2"	7811734	7812377	"ENST00000414654.1_3"	"AC092580.2"	"-"	"lncRNA"	"chr2"	7811460	7815867	"ENST00000664007.1_1"	"AC092580.4"	"+"	"lncRNA"	643	"opposite"	"3105_ID"
"3106"	"chr2"	99771460	99811761	"ENST00000410042.1_1"	"AC092587.1"	"+"	"protein_coding"	"chr2"	99757947	99939196	"ENST00000424491.5_1"	"AC079447.1"	"+"	"nonsense_mediated_decay"	40301	"same"	"3106_ID"
"3107"	"chr4"	157762510	157763388	"ENST00000503505.1_1"	"AC092608.1"	"+"	"lncRNA"	"chr4"	157681605	157892951	"ENST00000502773.6_4"	"PDGFC"	"-"	"protein_coding"	878	"opposite"	"3107_ID"
"3108"	"chr4"	152595634	152599045	"ENST00000514269.1_1"	"AC092611.1"	"+"	"lncRNA"	"chr4"	152591655	152682159	"ENST00000263985.11_4"	"GATB"	"-"	"protein_coding"	3411	"opposite"	"3108_ID"
"3109"	"chr2"	8628549	8645157	"ENST00000649387.1_1"	"AC092617.1"	"+"	"lncRNA"	"chr2"	8601832	8733033	"ENST00000670008.1_3"	"LINC01814"	"-"	"lncRNA"	16608	"opposite"	"3109_ID"
"3110"	"chr7"	63361445	63361511	"ENST00000585312.1"	"AC092634.1"	"+"	"miRNA"	"chr7"	63360690	63385580	"ENST00000656045.1_1"	"LINC02848"	"+"	"lncRNA"	66	"same"	"3110_ID"
"3111"	"chr7"	63387213	63387279	"ENST00000582948.1"	"AC092634.2"	"+"	"miRNA"	"chr7"	63386209	63391298	"ENST00000652932.1_1"	"AC092634.8"	"+"	"lncRNA"	66	"same"	"3111_ID"
"3112"	"chr2"	97578285	97583009	"ENST00000661235.1_1"	"AC092636.1"	"+"	"lncRNA"	"chr2"	97541621	97652317	"ENST00000490605.3_7"	"FAM178B"	"-"	"protein_coding"	4724	"opposite"	"3112_ID"
"3113"	"chr2"	112997197	113001952	"ENST00000662099.1_1"	"AC092645.2"	"+"	"lncRNA"	"chr2"	112969105	113012619	"ENST00000409573.7_5"	"ZC3H8"	"-"	"protein_coding"	4755	"opposite"	"3113_ID"
"3114"	"chr2"	144433733	144498863	"ENST00000552220.1_4"	"AC092652.1"	"-"	"lncRNA"	"chr2"	143886987	144525921	"ENST00000295095.11_2"	"ARHGAP15"	"+"	"protein_coding"	66980	"opposite"	"3114_ID"
"3115"	"chr2"	144359085	144366328	"ENST00000473426.1_2"	"AC092652.2"	"+"	"lncRNA"	"chr2"	143886987	144525921	"ENST00000295095.11_2"	"ARHGAP15"	"+"	"protein_coding"	7243	"same"	"3115_ID"
"3116"	"chr4"	118569986	118578467	"ENST00000650758.1_2"	"AC092661.1"	"-"	"lncRNA"	"chr4"	118327321	118610182	"ENST00000626258.2_5"	"LINC01378"	"+"	"lncRNA"	8481	"opposite"	"3116_ID"
"3117"	"chr2"	100721380	100723966	"ENST00000434301.1_1"	"AC092667.1"	"+"	"lncRNA"	"chr2"	100163717	100759037	"ENST00000317233.8_3"	"AFF3"	"-"	"protein_coding"	2586	"opposite"	"3117_ID"
"3118"	"chr4"	177787767	177796611	"ENST00000510203.1_3"	"AC092673.1"	"-"	"lncRNA"	"chr4"	177765646	178222312	"ENST00000656694.1_3"	"AC097518.2"	"-"	"lncRNA"	8844	"same"	"3118_ID"
"3119"	"chr2"	98963457	98967603	"ENST00000413274.1_1"	"AC092675.2"	"+"	"lncRNA"	"chr2"	98962918	99015064	"ENST00000272602.7_3"	"CNGA3"	"+"	"protein_coding"	4146	"same"	"3119_ID"
"3120"	"chr2"	98963457	98967603	"ENST00000413274.1_1"	"AC092675.2"	"+"	"lncRNA"	"chr2"	98949676	98972468	"ENST00000454230.1_4"	"AC092675.1"	"-"	"lncRNA"	4146	"opposite"	"3120_ID"
"3121"	"chr2"	10987702	10995081	"ENST00000418835.1_1"	"AC092687.1"	"+"	"lncRNA"	"chr2"	10984602	11025239	"ENST00000670239.1_1"	"LINC01954"	"+"	"lncRNA"	7379	"same"	"3121_ID"
"3122"	"chr2"	10908000	10910184	"ENST00000606907.1_3"	"AC092687.3"	"-"	"lncRNA"	"chr2"	10861755	10925236	"ENST00000272238.9_4"	"ATP6V1C2"	"+"	"protein_coding"	2184	"opposite"	"3122_ID"
"3123"	"chr3"	117438705	117512655	"ENST00000656192.1_1"	"AC092691.3"	"+"	"lncRNA"	"chr3"	117391000	117716439	"ENST00000484092.1_4"	"AC092691.1"	"-"	"lncRNA"	74526	"opposite"	"3123_ID"
"3124"	"chr16"	81110923	81112466	"ENST00000501068.2_1"	"AC092718.1"	"+"	"lncRNA"	"chr16"	81087191	81129838	"ENST00000638948.1_4"	"AC092718.3"	"-"	"protein_coding"	1543	"opposite"	"3124_ID"
"3125"	"chr16"	81110923	81112466	"ENST00000501068.2_1"	"AC092718.1"	"+"	"lncRNA"	"chr16"	81055920	81129889	"ENST00000640345.1_3"	"AC092718.8"	"-"	"protein_coding"	1543	"opposite"	"3125_ID"
"3126"	"chr16"	81064374	81065090	"ENST00000566639.1_1"	"AC092718.4"	"+"	"lncRNA"	"chr16"	81055920	81129889	"ENST00000640345.1_3"	"AC092718.8"	"-"	"protein_coding"	716	"opposite"	"3126_ID"
"3127"	"chr16"	81064374	81065090	"ENST00000566639.1_1"	"AC092718.4"	"+"	"lncRNA"	"chr16"	81040818	81066719	"ENST00000393335.7_1"	"CENPN"	"+"	"protein_coding"	716	"same"	"3127_ID"
"3128"	"chr16"	81064374	81065090	"ENST00000566639.1_1"	"AC092718.4"	"+"	"lncRNA"	"chr16"	81051807	81069340	"ENST00000649061.1_3"	"AC092718.2"	"-"	"lncRNA"	716	"opposite"	"3128_ID"
"3129"	"chr16"	81088905	81090031	"ENST00000562450.1_1"	"AC092718.5"	"+"	"lncRNA"	"chr16"	81087101	81110818	"ENST00000378611.8_3"	"C16orf46"	"-"	"protein_coding"	1126	"opposite"	"3129_ID"
"3130"	"chr16"	81088905	81090031	"ENST00000562450.1_1"	"AC092718.5"	"+"	"lncRNA"	"chr16"	81087191	81129838	"ENST00000638948.1_4"	"AC092718.3"	"-"	"protein_coding"	1126	"opposite"	"3130_ID"
"3131"	"chr16"	81088905	81090031	"ENST00000562450.1_1"	"AC092718.5"	"+"	"lncRNA"	"chr16"	81055920	81129889	"ENST00000640345.1_3"	"AC092718.8"	"-"	"protein_coding"	1126	"opposite"	"3131_ID"
"3132"	"chr16"	81103458	81110203	"ENST00000568362.5_1"	"AC092718.6"	"+"	"lncRNA"	"chr16"	81087101	81110818	"ENST00000378611.8_3"	"C16orf46"	"-"	"protein_coding"	6745	"opposite"	"3132_ID"
"3133"	"chr16"	81103458	81110203	"ENST00000568362.5_1"	"AC092718.6"	"+"	"lncRNA"	"chr16"	81087191	81129838	"ENST00000638948.1_4"	"AC092718.3"	"-"	"protein_coding"	6745	"opposite"	"3133_ID"
"3134"	"chr16"	81103458	81110203	"ENST00000568362.5_1"	"AC092718.6"	"+"	"lncRNA"	"chr16"	81055920	81129889	"ENST00000640345.1_3"	"AC092718.8"	"-"	"protein_coding"	6745	"opposite"	"3134_ID"
"3135"	"chr16"	81185424	81187581	"ENST00000662219.1_1"	"AC092718.9"	"+"	"lncRNA"	"chr16"	81134727	81253975	"ENST00000525539.5_5"	"PKD1L2"	"-"	"polymorphic_pseudogene"	2157	"opposite"	"3135_ID"
"3136"	"chr16"	86015355	86018487	"ENST00000599411.2_2"	"AC092723.1"	"+"	"lncRNA"	"chr16"	85996933	86018992	"ENST00000645754.1_3"	"AC092723.4"	"-"	"lncRNA"	3132	"opposite"	"3136_ID"
"3137"	"chr16"	27078248	27079179	"ENST00000565783.1_3"	"AC092725.1"	"-"	"lncRNA"	"chr16"	27078027	27080486	"ENST00000505035.2_4"	"C16orf82"	"+"	"protein_coding"	931	"opposite"	"3137_ID"
"3138"	"chr12"	8474471	8482210	"ENST00000535746.5_1"	"AC092745.1"	"+"	"lncRNA"	"chr12"	8395742	8494644	"ENST00000669735.1_1"	"AC092745.5"	"+"	"lncRNA"	7739	"same"	"3138_ID"
"3139"	"chr12"	8474471	8482210	"ENST00000535746.5_1"	"AC092745.1"	"+"	"lncRNA"	"chr12"	8448581	8549399	"ENST00000544461.1_4"	"LINC00937"	"-"	"lncRNA"	7739	"opposite"	"3139_ID"
"3140"	"chr12"	8435272	8439114	"ENST00000656887.1_3"	"AC092745.4"	"-"	"lncRNA"	"chr12"	8395742	8494644	"ENST00000669735.1_1"	"AC092745.5"	"+"	"lncRNA"	3842	"opposite"	"3140_ID"
"3141"	"chr12"	27190032	27191893	"ENST00000620519.1_1"	"AC092747.4"	"+"	"lncRNA"	"chr12"	27175509	27219173	"ENST00000538186.5_1"	"MED21"	"+"	"processed_transcript"	1861	"same"	"3141_ID"
"3142"	"chr15"	59980715	59981617	"ENST00000560199.1_1"	"AC092755.2"	"+"	"lncRNA"	"chr15"	59951344	59981733	"ENST00000267859.8_4"	"BNIP2"	"-"	"protein_coding"	902	"opposite"	"3142_ID"
"3143"	"chr15"	59558918	59563361	"ENST00000560248.1_3"	"AC092756.1"	"-"	"lncRNA"	"chr15"	59424632	59665070	"ENST00000288235.9_4"	"MYO1E"	"-"	"protein_coding"	54517	"same"	"3143_ID"
"3144"	"chr15"	59443176	59443267	"ENST00000408169.1"	"AC092757.1"	"-"	"miRNA"	"chr15"	59424632	59665070	"ENST00000288235.9_4"	"MYO1E"	"-"	"protein_coding"	91	"same"	"3144_ID"
"3145"	"chr15"	59407745	59408288	"ENST00000619686.1_1"	"AC092757.3"	"-"	"lncRNA"	"chr15"	59397344	59417244	"ENST00000288207.7_2"	"CCNB2"	"+"	"protein_coding"	543	"opposite"	"3145_ID"
"3146"	"chr1"	222186348	222186432	"ENST00000390805.2"	"AC092765.1"	"-"	"miRNA"	"chr1"	222184166	222238115	"ENST00000668844.1_3"	"LINC01705"	"-"	"lncRNA"	84	"same"	"3146_ID"
"3147"	"chr12"	25363585	25364167	"ENST00000612734.1_1"	"AC092794.1"	"+"	"lncRNA"	"chr12"	25358179	25403863	"ENST00000256078.10_6"	"KRAS"	"-"	"protein_coding"	582	"opposite"	"3147_ID"
"3148"	"chr12"	25378036	25378599	"ENST00000620933.1_1"	"AC092794.2"	"+"	"lncRNA"	"chr12"	25358179	25403863	"ENST00000256078.10_6"	"KRAS"	"-"	"protein_coding"	563	"opposite"	"3148_ID"
"3149"	"chr3"	25810150	25810202	"ENST00000577400.1"	"AC092798.1"	"-"	"miRNA"	"chr3"	25760901	25831530	"ENST00000417874.6_4"	"NGLY1"	"-"	"protein_coding"	52	"same"	"3149_ID"
"3150"	"chr1"	201642232	201643272	"ENST00000449492.1_4"	"AC092800.1"	"-"	"lncRNA"	"chr1"	201592054	201792472	"ENST00000367302.5_3"	"NAV1"	"+"	"protein_coding"	1040	"opposite"	"3150_ID"
"3151"	"chr1"	95627231	95699513	"ENST00000663020.1_3"	"AC092802.1"	"-"	"lncRNA"	"chr1"	95583478	95710511	"ENST00000604534.5_2"	"TLCD4-RWDD3"	"+"	"protein_coding"	72307	"opposite"	"3151_ID"
"3152"	"chr1"	95585702	95604110	"ENST00000434207.1_1"	"AC092802.3"	"+"	"lncRNA"	"chr1"	95582910	95663163	"ENST00000370203.9_2"	"TLCD4"	"+"	"protein_coding"	18408	"same"	"3152_ID"
"3153"	"chr1"	95585702	95604110	"ENST00000434207.1_1"	"AC092802.3"	"+"	"lncRNA"	"chr1"	95583478	95710511	"ENST00000604534.5_2"	"TLCD4-RWDD3"	"+"	"protein_coding"	18408	"same"	"3153_ID"
"3154"	"chr1"	85953981	86043933	"ENST00000498304.5_3"	"AC092807.3"	"-"	"lncRNA"	"chr1"	85784163	86044046	"ENST00000426972.8_3"	"DDAH1"	"-"	"protein_coding"	95970	"same"	"3154_ID"
"3155"	"chr12"	19300007	19307593	"ENST00000501211.2_1"	"AC092828.1"	"+"	"lncRNA"	"chr12"	19282701	19529334	"ENST00000429027.6_2"	"PLEKHA5"	"+"	"protein_coding"	7586	"same"	"3155_ID"
"3156"	"chrX"	22655108	22655194	"ENST00000577374.1"	"AC092832.1"	"+"	"miRNA"	"chrX"	22277913	23311263	"ENST00000608254.1"	"RP11-40F8.2"	"-"	"lincRNA"	86	"opposite"	"3156_ID"
"3157"	"chrX"	22446248	22512830	"ENST00000456621.1_1"	"AC092832.2"	"+"	"lncRNA"	"chrX"	22277913	23311263	"ENST00000608254.1"	"RP11-40F8.2"	"-"	"lincRNA"	66582	"opposite"	"3157_ID"
"3158"	"chr4"	23781212	23784183	"ENST00000506514.1_1"	"AC092834.1"	"+"	"lncRNA"	"chr4"	23756663	23883734	"ENST00000509702.5_3"	"PPARGC1A"	"-"	"processed_transcript"	2971	"opposite"	"3158_ID"
"3159"	"chr2"	54772504	54773814	"ENST00000431130.2_3"	"AC092839.1"	"-"	"lncRNA"	"chr2"	54683453	54898582	"ENST00000615901.4_2"	"SPTBN1"	"+"	"protein_coding"	1310	"opposite"	"3159_ID"
"3160"	"chr2"	162775291	162775376	"ENST00000517237.1"	"AC092841.1"	"+"	"miRNA"	"chr2"	162480847	162841792	"ENST00000415876.6_4"	"SLC4A10"	"+"	"protein_coding"	85	"same"	"3160_ID"
"3161"	"chr7"	54268916	54270114	"ENST00000629899.1_1"	"AC092848.1"	"+"	"lncRNA"	"chr7"	54252763	54325270	"ENST00000657889.1_3"	"AC092848.2"	"-"	"lncRNA"	1198	"opposite"	"3161_ID"
"3162"	"chr12"	8519281	8519427	"ENST00000408177.1"	"AC092865.1"	"+"	"miRNA"	"chr12"	8448581	8549399	"ENST00000544461.1_4"	"LINC00937"	"-"	"lncRNA"	146	"opposite"	"3162_ID"
"3163"	"chr15"	59640846	59652088	"ENST00000558749.1_3"	"AC092868.2"	"-"	"lncRNA"	"chr15"	59424632	59665070	"ENST00000288235.9_4"	"MYO1E"	"-"	"protein_coding"	11242	"same"	"3163_ID"
"3164"	"chr12"	70632893	70636210	"ENST00000664048.1_3"	"AC092881.2"	"+"	"lncRNA"	"chr12"	70295697	70637146	"ENST00000549419.6_4"	"PRANCR"	"-"	"lncRNA"	3317	"opposite"	"3164_ID"
"3165"	"chr3"	113717628	113735108	"ENST00000647576.1_1"	"AC092896.1"	"+"	"lncRNA"	"chr3"	113682983	113775373	"ENST00000295878.8_5"	"CCDC191"	"-"	"protein_coding"	17480	"opposite"	"3165_ID"
"3166"	"chr3"	125551271	125551371	"ENST00000408754.1"	"AC092902.1"	"-"	"miRNA"	"chr3"	125485358	125571779	"ENST00000641650.1_1"	"AC092902.4"	"+"	"lncRNA"	100	"opposite"	"3166_ID"
"3167"	"chr3"	125551271	125551371	"ENST00000408754.1"	"AC092902.1"	"-"	"miRNA"	"chr3"	125546081	125634600	"ENST00000664857.1_3"	"LINC02614"	"-"	"lncRNA"	100	"same"	"3167_ID"
"3168"	"chr3"	125493556	125516796	"ENST00000610060.1_1"	"AC092902.2"	"+"	"lncRNA"	"chr3"	125485358	125571779	"ENST00000641650.1_1"	"AC092902.4"	"+"	"lncRNA"	23240	"same"	"3168_ID"
"3169"	"chr3"	125518729	125519459	"ENST00000659117.1_3"	"AC092902.6"	"-"	"lncRNA"	"chr3"	125485358	125571779	"ENST00000641650.1_1"	"AC092902.4"	"+"	"lncRNA"	730	"opposite"	"3169_ID"
"3170"	"chr3"	109216491	109216576	"ENST00000516732.1"	"AC092905.1"	"+"	"miRNA"	"chr3"	109128873	109442120	"ENST00000663929.1_1"	"LINC01205"	"+"	"lncRNA"	85	"same"	"3170_ID"
"3171"	"chr3"	119687890	119787051	"ENST00000678483.1_1"	"AC092910.4"	"-"	"lncRNA"	"chr3"	119540167	119813294	"ENST00000264235.13_7"	"GSK3B"	"-"	"protein_coding"	99161	"same"	"3171_ID"
"3172"	"chr3"	111185159	111215942	"ENST00000497896.1_3"	"AC092916.1"	"-"	"lncRNA"	"chr3"	111011565	111261149	"ENST00000460744.1_1"	"CD96"	"+"	"protein_coding"	30783	"opposite"	"3172_ID"
"3173"	"chr3"	179689281	179734871	"ENST00000667923.1_1"	"AC092939.1"	"+"	"lncRNA"	"chr3"	179512745	179754725	"ENST00000467460.6_5"	"PEX5L"	"-"	"protein_coding"	45590	"opposite"	"3173_ID"
"3174"	"chr3"	187719487	187721194	"ENST00000444379.1_3"	"AC092941.2"	"-"	"lncRNA"	"chr3"	187715209	187721778	"ENST00000415940.1_3"	"AC092941.1"	"-"	"lncRNA"	1707	"same"	"3174_ID"
"3175"	"chr3"	159429640	159449435	"ENST00000657094.1_3"	"AC092943.2"	"-"	"lncRNA"	"chr3"	158787052	159615147	"ENST00000485419.7_3"	"IQCJ-SCHIP1"	"+"	"protein_coding"	19795	"opposite"	"3175_ID"
"3176"	"chr3"	156952368	156952938	"ENST00000657907.1_3"	"AC092944.3"	"-"	"lncRNA"	"chr3"	156893057	157099054	"ENST00000487238.5_2"	"AC092944.1"	"+"	"lncRNA"	570	"opposite"	"3176_ID"
"3177"	"chr3"	148640489	148673875	"ENST00000666418.1_3"	"AC092979.2"	"+"	"lncRNA"	"chr3"	148568719	148677899	"ENST00000488190.1_3"	"AC092979.1"	"-"	"lncRNA"	33386	"opposite"	"3177_ID"
"3178"	"chr3"	140122261	140122345	"ENST00000580582.1"	"AC092988.1"	"+"	"miRNA"	"chr3"	139654026	140296239	"ENST00000458420.7_2"	"CLSTN2"	"+"	"protein_coding"	84	"same"	"3178_ID"
"3179"	"chr3"	130088069	130088187	"ENST00000410751.1"	"AC093004.1"	"-"	"miRNA"	"chr3"	130064358	130203688	"ENST00000265379.10_2"	"COL6A5"	"+"	"protein_coding"	118	"opposite"	"3179_ID"
"3180"	"chr3"	114033347	114048561	"ENST00000570269.2_3"	"AC093010.2"	"-"	"lncRNA"	"chr3"	114033346	114866135	"ENST00000675478.1_1"	"ZBTB20"	"-"	"protein_coding"	15214	"same"	"3180_ID"
"3181"	"chr2"	220992266	221077212	"ENST00000438633.1_1"	"AC093083.1"	"+"	"lncRNA"	"chr2"	220970376	221315499	"ENST00000432993.1_1"	"AC019211.1"	"+"	"lncRNA"	84946	"same"	"3181_ID"
"3182"	"chr1"	41708246	41750533	"ENST00000445073.1_1"	"AC093151.2"	"+"	"lncRNA"	"chr1"	41707443	41804316	"ENST00000657314.1_1"	"AC093151.7"	"+"	"lncRNA"	42489	"same"	"3182_ID"
"3183"	"chr1"	101461028	101461816	"ENST00000414686.1_1"	"AC093157.2"	"+"	"lncRNA"	"chr1"	101455178	101491340	"ENST00000370109.8_5"	"DPH5"	"-"	"protein_coding"	788	"opposite"	"3183_ID"
