"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"Transcript_length"
"chr17"	12119283	12219645	"ENSMUST00000024594.8"	"Agpat4"	"+"	"protein_coding"	100362
"chr10"	75212389	75312743	"ENSMUST00000105421.9"	"Specc1l"	"+"	"protein_coding"	100354
"chr5"	10249091	10349408	"ENSMUST00000198581.1"	"Gm31831"	"+"	"lincRNA"	100317
"chr12"	35047185	35147479	"ENSMUST00000048519.16"	"Snx13"	"+"	"protein_coding"	100294
"chr1"	87620311	87720507	"ENSMUST00000169754.7"	"Inpp5d"	"+"	"protein_coding"	100196
"chr2"	22940072	23040241	"ENSMUST00000140164.7"	"Abi1"	"-"	"protein_coding"	100169
"chr9"	120179037	120279171	"ENSMUST00000216004.1"	"Gm38642"	"+"	"processed_transcript"	100134
"chr2"	73429609	73529734	"ENSMUST00000094681.10"	"Wipf1"	"-"	"protein_coding"	100125
"chr8"	121256746	121356836	"ENSMUST00000181200.1"	"Gm26815"	"-"	"lincRNA"	100090
"chr11"	65688242	65788297	"ENSMUST00000046963.9"	"Map2k4"	"-"	"protein_coding"	100055
"chr7"	41399377	41499417	"ENSMUST00000094532.3"	"Gm20449"	"-"	"protein_coding"	100040
"chr10"	45067202	45167198	"ENSMUST00000099858.3"	"Prep"	"+"	"protein_coding"	99996
"chr4"	62559846	62659840	"ENSMUST00000065870.13"	"Rgs3"	"+"	"protein_coding"	99994
"chr4"	108459425	108559415	"ENSMUST00000043368.11"	"Tut4"	"+"	"protein_coding"	99990
"chr11"	86583864	86683836	"ENSMUST00000018315.9"	"Vmp1"	"-"	"protein_coding"	99972
"chr13"	45235634	45335588	"ENSMUST00000220736.1"	"Gm47448"	"+"	"lincRNA"	99954
"chr11"	109473373	109573325	"ENSMUST00000020928.12"	"Arsg"	"+"	"protein_coding"	99952
"chr14"	13814617	13914478	"ENSMUST00000144914.2"	"Gm281"	"-"	"protein_coding"	99861
"chr7"	63344689	63444529	"ENSMUST00000181327.1"	"4930554H23Rik"	"-"	"lincRNA"	99840
"chr8"	86624042	86723873	"ENSMUST00000155433.7"	"Lonp2"	"+"	"protein_coding"	99831
"chr11"	22759737	22859545	"ENSMUST00000189990.1"	"B3gnt2"	"-"	"protein_coding"	99808
"chr8"	71026791	71126576	"ENSMUST00000212780.1"	"Gm35256"	"+"	"lincRNA"	99785
"chr10"	26275451	26375185	"ENSMUST00000174766.1"	"L3mbtl3"	"-"	"protein_coding"	99734
"chr18"	29396715	29496416	"ENSMUST00000234588.1"	"4930578E11Rik"	"-"	"lincRNA"	99701
"chr7"	114315478	114415161	"ENSMUST00000163996.1"	"4933406I18Rik"	"-"	"lincRNA"	99683
"chr14"	6684274	6783942	"ENSMUST00000181787.1"	"Gm26680"	"+"	"processed_transcript"	99668
"chr11"	19924374	20024026	"ENSMUST00000093299.12"	"Spred2"	"+"	"protein_coding"	99652
"chr4"	155261720	155361361	"ENSMUST00000030922.14"	"Prkcz"	"-"	"protein_coding"	99641
"chr16"	14892327	14991883	"ENSMUST00000229379.1"	"Gm33696"	"-"	"antisense"	99556
"chr5"	108849780	108949255	"ENSMUST00000176157.1"	"Gm20629"	"+"	"antisense"	99475
"chr14"	103513341	103612797	"ENSMUST00000227322.1"	"Scel"	"+"	"protein_coding"	99456
"chr9"	40686011	40785319	"ENSMUST00000034522.7"	"Clmp"	"+"	"protein_coding"	99308
"chr18"	82593592	82692883	"ENSMUST00000171071.8"	"Zfp236"	"-"	"protein_coding"	99291
"chr5"	113490446	113589725	"ENSMUST00000094452.3"	"Wscd2"	"+"	"protein_coding"	99279
"chr9"	107773558	107872829	"ENSMUST00000035201.12"	"Rbm6"	"-"	"protein_coding"	99271
"chr2"	75832176	75931350	"ENSMUST00000047232.13"	"Agps"	"+"	"protein_coding"	99174
"chr3"	57736061	57835231	"ENSMUST00000041826.13"	"Rnf13"	"+"	"protein_coding"	99170
"chrX"	140178697	140277862	"ENSMUST00000130153.1"	"Gm15046"	"-"	"lincRNA"	99165
"chr15"	102525945	102625073	"ENSMUST00000184906.7"	"Atf7"	"-"	"protein_coding"	99128
"chr5"	134357655	134456716	"ENSMUST00000171794.8"	"Gtf2ird1"	"-"	"protein_coding"	99061
"chr11"	77089914	77188968	"ENSMUST00000108400.7"	"Efcab5"	"-"	"protein_coding"	99054
"chr5"	49959955	50059006	"ENSMUST00000030971.6"	"Adgra3"	"-"	"protein_coding"	99051
"chr8"	11728104	11827149	"ENSMUST00000110909.8"	"Arhgef7"	"+"	"protein_coding"	99045
"chr11"	107033082	107132127	"ENSMUST00000106762.7"	"Bptf"	"-"	"protein_coding"	99045
"chr5"	38038741	38137765	"ENSMUST00000114126.8"	"Stx18"	"+"	"protein_coding"	99024
"chr13"	114833080	114932100	"ENSMUST00000056117.9"	"Itga2"	"-"	"protein_coding"	99020
"chr6"	58596670	58695676	"ENSMUST00000031822.12"	"Abcg2"	"+"	"protein_coding"	99006
"chr3"	159839736	159938664	"ENSMUST00000198878.1"	"Wls"	"+"	"protein_coding"	98928
"chr4"	139192898	139291818	"ENSMUST00000102508.9"	"Capzb"	"+"	"protein_coding"	98920
"chr10"	3366056	3464975	"ENSMUST00000043374.6"	"Ppp1r14c"	"+"	"protein_coding"	98919
"chr7"	122670491	122769393	"ENSMUST00000084615.9"	"Cacng3"	"+"	"protein_coding"	98902
"chr4"	59805839	59904737	"ENSMUST00000030080.6"	"Snx30"	"+"	"protein_coding"	98898
"chr17"	87282885	87381769	"ENSMUST00000041110.11"	"Ttc7"	"+"	"protein_coding"	98884
"chr3"	130838454	130937337	"ENSMUST00000196438.2"	"2010110G14Rik"	"-"	"lincRNA"	98883
"chr13"	93304798	93403681	"ENSMUST00000080127.11"	"Homer1"	"+"	"protein_coding"	98883
"chr10"	84917615	85016447	"ENSMUST00000038523.14"	"Ric8b"	"+"	"protein_coding"	98832
"chr7"	126101714	126200501	"ENSMUST00000168189.7"	"Xpo6"	"-"	"protein_coding"	98787
"chr19"	25505617	25604329	"ENSMUST00000025755.10"	"Dmrt1"	"+"	"protein_coding"	98712
"chrX"	111439256	111537947	"ENSMUST00000132319.7"	"Rps6ka6"	"-"	"protein_coding"	98691
"chr16"	93711903	93810588	"ENSMUST00000045004.10"	"Dop1b"	"+"	"protein_coding"	98685
"chr19"	35958733	36057360	"ENSMUST00000164781.1"	"Htr7"	"-"	"protein_coding"	98627
"chr16"	94370617	94469220	"ENSMUST00000117648.8"	"Ttc3"	"+"	"protein_coding"	98603
"chr12"	118867823	118966421	"ENSMUST00000035515.4"	"Abcb5"	"-"	"protein_coding"	98598
"chr1"	140084707	140183280	"ENSMUST00000192880.5"	"Cfh"	"-"	"protein_coding"	98573
"chr1"	10038216	10136768	"ENSMUST00000071087.11"	"Cspp1"	"+"	"protein_coding"	98552
"chr10"	41809934	41908424	"ENSMUST00000099931.10"	"Sesn1"	"+"	"protein_coding"	98490
"chr12"	68896528	68994970	"ENSMUST00000221589.1"	"Gm47515"	"-"	"lincRNA"	98442
"chr5"	137378636	137477064	"ENSMUST00000117564.7"	"Zan"	"-"	"protein_coding"	98428
"chr14"	65666402	65764826	"ENSMUST00000022610.14"	"Scara5"	"+"	"protein_coding"	98424
"chr14"	77904238	78002657	"ENSMUST00000022591.15"	"Epsti1"	"+"	"protein_coding"	98419
"chr8"	86482259	86580655	"ENSMUST00000129898.7"	"Abcc12"	"-"	"protein_coding"	98396
"chr9"	59388257	59486614	"ENSMUST00000171975.7"	"Arih1"	"-"	"protein_coding"	98357
"chr4"	149328415	149426749	"ENSMUST00000103212.9"	"Ube4b"	"-"	"protein_coding"	98334
"chr11"	70844777	70943105	"ENSMUST00000076270.12"	"Rabep1"	"+"	"protein_coding"	98328
"chr18"	36560610	36658908	"ENSMUST00000006205.13"	"Ankhd1"	"+"	"protein_coding"	98298
"chr13"	5915792	6014083	"ENSMUST00000223425.1"	"Gm46401"	"+"	"lincRNA"	98291
"chr6"	60731574	60829855	"ENSMUST00000163779.7"	"Snca"	"-"	"protein_coding"	98281
"chr10"	69151433	69249713	"ENSMUST00000167286.7"	"Rhobtb1"	"+"	"protein_coding"	98280
"chr14"	75131553	75229796	"ENSMUST00000124499.7"	"Lcp1"	"+"	"protein_coding"	98243
"chr3"	123267454	123365641	"ENSMUST00000047923.11"	"Sec24d"	"+"	"protein_coding"	98187
"chr1"	66719362	66817546	"ENSMUST00000068168.9"	"Kansl1l"	"-"	"protein_coding"	98184
"chr12"	99964498	100062682	"ENSMUST00000160413.7"	"Kcnk13"	"+"	"protein_coding"	98184
"chr4"	128654701	128752881	"ENSMUST00000030588.12"	"Phc2"	"+"	"protein_coding"	98180
"chr15"	8968425	9066551	"ENSMUST00000053308.9"	"Ranbp3l"	"+"	"protein_coding"	98126
"chr3"	99141092	99239186	"ENSMUST00000145650.7"	"Wars2"	"+"	"protein_coding"	98094
"chr12"	69583765	69681852	"ENSMUST00000035773.13"	"Sos2"	"-"	"protein_coding"	98087
"chr12"	41918707	42016756	"ENSMUST00000222917.1"	"Gm46348"	"-"	"lincRNA"	98049
"chr17"	5941377	6039390	"ENSMUST00000134767.7"	"Synj2"	"+"	"protein_coding"	98013
"chr13"	70021958	70119949	"ENSMUST00000221404.1"	"Gm3772"	"+"	"lincRNA"	97991
"chr4"	101717403	101815352	"ENSMUST00000037552.9"	"Lepr"	"+"	"protein_coding"	97949
"chr12"	37049216	37147149	"ENSMUST00000222665.1"	"Gm48617"	"+"	"sense_intronic"	97933
"chr7"	100372232	100470150	"ENSMUST00000051777.14"	"C2cd3"	"+"	"protein_coding"	97918
"chr3"	45280436	45378260	"ENSMUST00000181047.6"	"2610316D01Rik"	"-"	"processed_transcript"	97824
"chr7"	93006981	93104789	"ENSMUST00000181886.1"	"Gm26862"	"+"	"sense_overlapping"	97808
"chr8"	26021420	26119224	"ENSMUST00000037182.13"	"Hook3"	"-"	"protein_coding"	97804
"chr7"	81609729	81707527	"ENSMUST00000207371.1"	"Homer2"	"-"	"protein_coding"	97798
"chr1"	58997115	59094893	"ENSMUST00000238601.1"	"C2cd6"	"-"	"protein_coding"	97778
"chr9"	76225879	76323611	"ENSMUST00000063140.14"	"Hcrtr2"	"-"	"protein_coding"	97732
"chr19"	22978229	23075924	"ENSMUST00000236056.1"	"C330002G04Rik"	"-"	"lincRNA"	97695
"chr19"	47937711	48035387	"ENSMUST00000066308.8"	"Cfap58"	"+"	"protein_coding"	97676
"chr17"	59855216	59952886	"ENSMUST00000233598.1"	"Gm49853"	"+"	"lincRNA"	97670
"chr14"	14702278	14799940	"ENSMUST00000057015.7"	"Slc4a7"	"+"	"protein_coding"	97662
"chr1"	156323508	156421159	"ENSMUST00000178036.7"	"Axdnd1"	"-"	"protein_coding"	97651
"chrX"	106027275	106124917	"ENSMUST00000113557.7"	"Atp7a"	"+"	"protein_coding"	97642
"chr12"	102780796	102878406	"ENSMUST00000223554.1"	"Btbd7"	"-"	"protein_coding"	97610
"chr3"	149562881	149660396	"ENSMUST00000197948.1"	"Gm31121"	"-"	"lincRNA"	97515
"chr13"	96542734	96640167	"ENSMUST00000109444.2"	"Col4a3bp"	"+"	"protein_coding"	97433
"chr7"	145186523	145283931	"ENSMUST00000208328.1"	"Tpcn2"	"-"	"protein_coding"	97408
"chr9"	53439367	53536740	"ENSMUST00000232179.1"	"Atm"	"-"	"protein_coding"	97373
"chr3"	124839508	124936860	"ENSMUST00000198883.1"	"Gm42825"	"+"	"lincRNA"	97352
"chrX"	108737015	108834348	"ENSMUST00000150434.7"	"Brwd3"	"-"	"protein_coding"	97333
"chr6"	57727806	57825136	"ENSMUST00000127485.7"	"Vopp1"	"-"	"protein_coding"	97330
"chr12"	111971558	112068854	"ENSMUST00000079009.10"	"Tdrd9"	"+"	"protein_coding"	97296
"chr9"	14547791	14645056	"ENSMUST00000223132.1"	"Amotl1"	"-"	"protein_coding"	97265
"chr1"	176430110	176527273	"ENSMUST00000194241.1"	"Gm36536"	"-"	"lincRNA"	97163
"chr10"	60002838	60099986	"ENSMUST00000050516.13"	"Ascc1"	"+"	"protein_coding"	97148
"chr6"	91978877	92076004	"ENSMUST00000089334.8"	"Fgd5"	"+"	"protein_coding"	97127
"chr1"	87476833	87573870	"ENSMUST00000068681.11"	"Ngef"	"-"	"protein_coding"	97037
"chr15"	99778469	99875456	"ENSMUST00000073691.4"	"Lima1"	"-"	"protein_coding"	96987
"chr9"	8644072	8740988	"ENSMUST00000215328.1"	"Gm32014"	"-"	"lincRNA"	96916
"chr14"	122816222	122913120	"ENSMUST00000110679.8"	"Ggact"	"-"	"protein_coding"	96898
"chr8"	24727185	24824066	"ENSMUST00000050300.14"	"Adam5"	"-"	"protein_coding"	96881
"chrX"	160623093	160719972	"ENSMUST00000071204.11"	"Ppef1"	"-"	"protein_coding"	96879
"chr5"	52374650	52471521	"ENSMUST00000059428.6"	"Ccdc149"	"-"	"protein_coding"	96871
"chr16"	14194534	14291372	"ENSMUST00000090287.4"	"Myh11"	"-"	"protein_coding"	96838
"chr4"	126332731	126429556	"ENSMUST00000069097.12"	"Ago3"	"-"	"protein_coding"	96825
"chr15"	93499113	93595891	"ENSMUST00000048982.10"	"Prickle1"	"-"	"protein_coding"	96778
"chr6"	79926413	80023156	"ENSMUST00000130734.1"	"Gm4409"	"-"	"antisense"	96743
"chr10"	5825662	5922400	"ENSMUST00000064225.13"	"Rgs17"	"-"	"protein_coding"	96738
"chr2"	71271062	71367749	"ENSMUST00000151937.7"	"Slc25a12"	"-"	"protein_coding"	96687
"chr2"	109917646	110014257	"ENSMUST00000046548.13"	"Lgr4"	"+"	"protein_coding"	96611
"chr18"	77938464	78035013	"ENSMUST00000044622.6"	"Epg5"	"+"	"protein_coding"	96549
"chr2"	96987017	97083561	"ENSMUST00000170085.1"	"4930445B16Rik"	"-"	"lincRNA"	96544
"chr17"	51736186	51832672	"ENSMUST00000144331.7"	"Satb1"	"-"	"protein_coding"	96486
"chr4"	139737061	139833528	"ENSMUST00000030508.13"	"Pax7"	"-"	"protein_coding"	96467
"chrX"	160502433	160598878	"ENSMUST00000112380.8"	"Phka2"	"+"	"protein_coding"	96445
"chr10"	116485160	116581511	"ENSMUST00000168036.7"	"Cnot2"	"-"	"protein_coding"	96351
"chr2"	112266818	112363156	"ENSMUST00000028549.13"	"Slc12a6"	"+"	"protein_coding"	96338
"chr6"	137983589	138079916	"ENSMUST00000171804.3"	"Slc15a5"	"-"	"protein_coding"	96327
"chr2"	118277109	118373419	"ENSMUST00000039160.2"	"Gpr176"	"-"	"protein_coding"	96310
"chr10"	70559702	70655958	"ENSMUST00000162144.1"	"Phyhipl"	"-"	"protein_coding"	96256
"chr8"	91217029	91313262	"ENSMUST00000047783.13"	"Rpgrip1l"	"-"	"protein_coding"	96233
"chr15"	91838325	91934555	"ENSMUST00000160242.7"	"Muc19"	"+"	"protein_coding"	96230
"chr11"	67661501	67757703	"ENSMUST00000021289.9"	"Glp2r"	"-"	"protein_coding"	96202
"chr3"	79641610	79737794	"ENSMUST00000078527.12"	"Rxfp1"	"-"	"protein_coding"	96184
"chr12"	70729173	70825345	"ENSMUST00000222338.1"	"Gm40437"	"-"	"lincRNA"	96172
"chr3"	87078600	87174747	"ENSMUST00000107618.8"	"Kirrel"	"-"	"protein_coding"	96147
"chr11"	5969643	6065748	"ENSMUST00000109813.8"	"Camk2b"	"-"	"protein_coding"	96105
"chrX"	138914430	139010532	"ENSMUST00000113052.7"	"Nrk"	"+"	"protein_coding"	96102
"chr1"	59256905	59352993	"ENSMUST00000160662.7"	"Cdk15"	"+"	"protein_coding"	96088
"chr10"	70097120	70193200	"ENSMUST00000147545.7"	"Ccdc6"	"+"	"protein_coding"	96080
"chr3"	118433965	118530022	"ENSMUST00000181310.1"	"Gm26871"	"+"	"processed_transcript"	96057
"chr11"	24078116	24174123	"ENSMUST00000109516.7"	"Bcl11a"	"+"	"protein_coding"	96007
"chr8"	45723324	45819297	"ENSMUST00000135116.1"	"Sorbs2os"	"-"	"antisense"	95973
"chrX"	136448106	136544056	"ENSMUST00000113108.7"	"Kir3dl2"	"-"	"protein_coding"	95950
"chr2"	125627446	125723387	"ENSMUST00000042246.13"	"Shc4"	"-"	"protein_coding"	95941
"chr7"	40373301	40469240	"ENSMUST00000187799.1"	"Gm28807"	"-"	"lincRNA"	95939
"chr11"	105360797	105456735	"ENSMUST00000049995.9"	"Marchf10"	"-"	"protein_coding"	95938
"chr3"	58692588	58788524	"ENSMUST00000203879.2"	"4930593A02Rik"	"+"	"lincRNA"	95936
"chr10"	44268357	44364291	"ENSMUST00000039286.4"	"Atg5"	"+"	"protein_coding"	95934
"chr5"	64708206	64804117	"ENSMUST00000180912.5"	"Gm20033"	"-"	"processed_transcript"	95911
"chr14"	7412459	7508369	"ENSMUST00000180508.7"	"4933406F09Rik"	"+"	"lincRNA"	95910
"chr5"	10947804	11043682	"ENSMUST00000168945.8"	"Gm8871"	"+"	"protein_coding"	95878
"chr19"	56912360	57008228	"ENSMUST00000122359.7"	"Afap1l2"	"-"	"protein_coding"	95868
"chr1"	78101269	78197134	"ENSMUST00000087086.6"	"Pax3"	"-"	"protein_coding"	95865
"chr1"	98421126	98516991	"ENSMUST00000162468.7"	"Slco6d1"	"+"	"protein_coding"	95865
"chr5"	50448661	50544491	"ENSMUST00000197457.4"	"Gm36814"	"-"	"processed_transcript"	95830
"chr1"	49244615	49340443	"ENSMUST00000188673.6"	"C230029F24Rik"	"+"	"lincRNA"	95828
"chr17"	74199035	74294863	"ENSMUST00000233514.2"	"Memo1"	"-"	"protein_coding"	95828
"chr7"	132610638	132706420	"ENSMUST00000033241.5"	"Lhpp"	"+"	"protein_coding"	95782
"chr10"	17562742	17658513	"ENSMUST00000219966.1"	"Gm47771"	"-"	"lincRNA"	95771
"chr9"	123366926	123462664	"ENSMUST00000038863.8"	"Lars2"	"+"	"protein_coding"	95738
"chr6"	86028703	86124409	"ENSMUST00000204059.2"	"Add2"	"+"	"protein_coding"	95706
"chr4"	8143361	8239041	"ENSMUST00000066674.7"	"Car8"	"-"	"protein_coding"	95680
"chr6"	94604528	94700158	"ENSMUST00000204645.2"	"Lrig1"	"-"	"protein_coding"	95630
"chr17"	43360450	43456072	"ENSMUST00000226087.1"	"Adgrf5"	"+"	"protein_coding"	95622
"chr9"	119483409	119579016	"ENSMUST00000117911.7"	"Scn5a"	"-"	"protein_coding"	95607
"chr14"	32201948	32297550	"ENSMUST00000022470.14"	"Parg"	"+"	"protein_coding"	95602
"chr6"	107181205	107276738	"ENSMUST00000203245.1"	"Gm34933"	"-"	"lincRNA"	95533
"chr1"	164804094	164899591	"ENSMUST00000193955.1"	"Gm32569"	"-"	"antisense"	95497
"chr17"	27425906	27521403	"ENSMUST00000231416.1"	"Grm4"	"-"	"protein_coding"	95497
"chr6"	39462377	39557867	"ENSMUST00000036877.9"	"Dennd2a"	"-"	"protein_coding"	95490
"chr6"	37870810	37966296	"ENSMUST00000031859.13"	"Trim24"	"+"	"protein_coding"	95486
"chr5"	36600484	36695937	"ENSMUST00000031091.12"	"D5Ertd579e"	"-"	"protein_coding"	95453
"chr12"	51875870	51971321	"ENSMUST00000040583.6"	"Heatr5a"	"-"	"protein_coding"	95451
"chr5"	72203328	72298775	"ENSMUST00000126664.7"	"Atp10d"	"+"	"polymorphic_pseudogene"	95447
"chr17"	26561488	26656931	"ENSMUST00000167662.7"	"Ergic1"	"+"	"protein_coding"	95443
"chr13"	112288588	112384002	"ENSMUST00000165593.8"	"Ankrd55"	"+"	"protein_coding"	95414
"chr5"	124629051	124724455	"ENSMUST00000037865.12"	"Atp6v0a2"	"+"	"protein_coding"	95404
"chr4"	112072015	112167386	"ENSMUST00000106565.7"	"Skint4"	"+"	"protein_coding"	95371
"chr6"	36714928	36810220	"ENSMUST00000101534.4"	"Ptn"	"-"	"protein_coding"	95292
"chr11"	4345813	4441103	"ENSMUST00000020689.9"	"Hormad2"	"-"	"protein_coding"	95290
"chr4"	59043752	59138983	"ENSMUST00000107547.1"	"Shoc1"	"-"	"protein_coding"	95231
"chr5"	18265134	18360355	"ENSMUST00000074694.6"	"Gnai1"	"-"	"protein_coding"	95221
"chr18"	89177027	89272229	"ENSMUST00000236828.1"	"Cd226"	"+"	"protein_coding"	95202
"chr2"	9352489	9447676	"ENSMUST00000144870.1"	"Gm13219"	"+"	"lincRNA"	95187
"chr1"	191997429	192092559	"ENSMUST00000085573.11"	"Traf5"	"-"	"protein_coding"	95130
"chr1"	10137570	10232670	"ENSMUST00000088615.10"	"Arfgef1"	"-"	"protein_coding"	95100
"chr13"	99421445	99516540	"ENSMUST00000064762.5"	"Map1b"	"-"	"protein_coding"	95095
"chr16"	20331302	20426394	"ENSMUST00000079158.12"	"Abcc5"	"-"	"protein_coding"	95092
"chrX"	93654862	93749951	"ENSMUST00000113933.8"	"Pcyt1b"	"+"	"protein_coding"	95089
"chr3"	132085291	132180304	"ENSMUST00000029665.6"	"Dkk2"	"+"	"protein_coding"	95013
"chr1"	52925182	53020179	"ENSMUST00000191441.1"	"1700019D03Rik"	"-"	"protein_coding"	94997
"chr11"	88099145	88194140	"ENSMUST00000018522.12"	"Cuedc1"	"+"	"protein_coding"	94995
"chr5"	34660378	34755303	"ENSMUST00000001112.13"	"Grk4"	"+"	"protein_coding"	94925
"chr5"	76209867	76304792	"ENSMUST00000202651.3"	"Clock"	"-"	"protein_coding"	94925
"chr14"	6352043	6446960	"ENSMUST00000181015.7"	"Gm26630"	"+"	"processed_transcript"	94917
"chr10"	42181840	42276752	"ENSMUST00000105502.7"	"Foxo3"	"-"	"protein_coding"	94912
"chr5"	30367061	30461932	"ENSMUST00000074171.9"	"Otof"	"-"	"protein_coding"	94871
"chr2"	84330625	84425411	"ENSMUST00000074262.8"	"Calcrl"	"-"	"protein_coding"	94786
"chr13"	17710314	17805097	"ENSMUST00000223490.1"	"Cdk13"	"-"	"protein_coding"	94783
"chr11"	6105690	6200415	"ENSMUST00000066496.9"	"Nudcd3"	"-"	"protein_coding"	94725
"chr17"	47505050	47599683	"ENSMUST00000171031.7"	"Ccnd3"	"+"	"protein_coding"	94633
"chr13"	52835118	52929661	"ENSMUST00000021913.15"	"Auh"	"-"	"protein_coding"	94543
"chr10"	62804576	62899118	"ENSMUST00000174189.1"	"Tet1"	"-"	"protein_coding"	94542
"chr10"	18743468	18837979	"ENSMUST00000215162.1"	"Gm32926"	"+"	"antisense"	94511
"chr1"	130462575	130557075	"ENSMUST00000125681.1"	"Gm16083"	"+"	"antisense"	94500
"chr6"	134308950	134403415	"ENSMUST00000203352.1"	"4933406J09Rik"	"-"	"antisense"	94465
"chr18"	82910878	83005314	"ENSMUST00000171238.7"	"Zfp516"	"+"	"protein_coding"	94436
"chr17"	71769690	71864090	"ENSMUST00000231105.1"	"Clip4"	"+"	"protein_coding"	94400
"chr9"	108096021	108190384	"ENSMUST00000035208.13"	"Bsn"	"-"	"protein_coding"	94363
"chr5"	53809626	53903965	"ENSMUST00000037337.9"	"Tbc1d19"	"+"	"protein_coding"	94339
"chr11"	112687644	112781976	"ENSMUST00000137081.7"	"BC006965"	"-"	"processed_transcript"	94332
"chr11"	119393099	119487418	"ENSMUST00000131035.9"	"Rnf213"	"+"	"protein_coding"	94319
"chr1"	180330484	180424802	"ENSMUST00000070181.6"	"Itpkb"	"+"	"protein_coding"	94318
"chrX"	20425687	20519939	"ENSMUST00000115384.8"	"Jade3"	"+"	"protein_coding"	94252
"chr15"	76723984	76818170	"ENSMUST00000077821.9"	"Arhgap39"	"-"	"protein_coding"	94186
"chr11"	60105012	60199197	"ENSMUST00000149770.7"	"Rai1"	"+"	"protein_coding"	94185
"chr5"	96997688	97091867	"ENSMUST00000035635.9"	"Bmp2k"	"+"	"protein_coding"	94179
"chr6"	52546227	52640389	"ENSMUST00000031788.8"	"Hibadh"	"-"	"protein_coding"	94162
"chr10"	53536314	53630439	"ENSMUST00000237608.1"	"Mcm9"	"-"	"protein_coding"	94125
"chr9"	76951692	77045794	"ENSMUST00000034911.6"	"Tinag"	"-"	"protein_coding"	94102
"chr9"	95857705	95951781	"ENSMUST00000215311.1"	"Atr"	"+"	"protein_coding"	94076
"chr19"	23558752	23652812	"ENSMUST00000035849.4"	"1700028P14Rik"	"-"	"protein_coding"	94060
"chr2"	77186554	77280592	"ENSMUST00000102659.1"	"Sestd1"	"-"	"protein_coding"	94038
"chr12"	59095799	59189799	"ENSMUST00000219140.2"	"Mia2"	"+"	"protein_coding"	94000
"chr11"	55514237	55608198	"ENSMUST00000102716.9"	"Glra1"	"-"	"protein_coding"	93961
"chr16"	23520290	23614222	"ENSMUST00000209422.1"	"Rtp4"	"+"	"protein_coding"	93932
"chr3"	37898812	37992728	"ENSMUST00000196893.1"	"Gm20755"	"+"	"lincRNA"	93916
"chr2"	91526761	91620664	"ENSMUST00000111338.9"	"Ckap5"	"+"	"protein_coding"	93903
"chr14"	57424061	57517936	"ENSMUST00000122063.7"	"Ift88"	"+"	"protein_coding"	93875
"chr14"	36874935	36968777	"ENSMUST00000090024.10"	"Ccser2"	"-"	"protein_coding"	93842
"chr8"	126814489	126908215	"ENSMUST00000212639.1"	"Gm31718"	"-"	"lincRNA"	93726
"chr4"	152178133	152271852	"ENSMUST00000075363.9"	"Acot7"	"+"	"protein_coding"	93719
"chr5"	105519387	105613018	"ENSMUST00000067924.12"	"Lrrc8c"	"+"	"protein_coding"	93631
"chr11"	87127076	87220683	"ENSMUST00000041282.12"	"Trim37"	"+"	"protein_coding"	93607
"chr5"	144264525	144358112	"ENSMUST00000055190.7"	"Baiap2l1"	"-"	"protein_coding"	93587
"chr10"	45376619	45470201	"ENSMUST00000079390.6"	"Lin28b"	"-"	"protein_coding"	93582
"chr16"	35397311	35490873	"ENSMUST00000023550.8"	"Pdia5"	"-"	"protein_coding"	93562
"chr5"	36492738	36586265	"ENSMUST00000124036.7"	"Tbc1d14"	"-"	"protein_coding"	93527
"chr10"	50895650	50989152	"ENSMUST00000020071.3"	"Sim1"	"+"	"protein_coding"	93502
"chr10"	90989317	91082770	"ENSMUST00000020157.12"	"Apaf1"	"-"	"protein_coding"	93453
"chr5"	34194892	34288326	"ENSMUST00000094868.9"	"Zfyve28"	"-"	"protein_coding"	93434
"chr18"	53862121	53955548	"ENSMUST00000069597.7"	"Csnk1g3"	"+"	"protein_coding"	93427
"chr11"	65176573	65269989	"ENSMUST00000108695.8"	"Myocd"	"-"	"protein_coding"	93416
"chr19"	43846820	43940191	"ENSMUST00000212396.1"	"Dnmbp"	"-"	"protein_coding"	93371
"chr12"	54892988	54986336	"ENSMUST00000038926.12"	"Baz1a"	"-"	"protein_coding"	93348
"chr2"	155133508	155226855	"ENSMUST00000029126.14"	"Itch"	"+"	"protein_coding"	93347
"chr12"	84783211	84876532	"ENSMUST00000002073.12"	"Ltbp2"	"-"	"protein_coding"	93321
"chrX"	135797593	135890864	"ENSMUST00000207433.1"	"Bhlhb9"	"+"	"protein_coding"	93271
"chr6"	30211288	30304539	"ENSMUST00000102993.9"	"Ube2h"	"-"	"protein_coding"	93251
"chr16"	18877065	18970309	"ENSMUST00000004222.13"	"Hira"	"+"	"protein_coding"	93244
"chrX"	140342262	140435467	"ENSMUST00000208130.1"	"Frmpd3"	"+"	"protein_coding"	93205
"chr12"	107910402	108003602	"ENSMUST00000066060.10"	"Bcl11b"	"-"	"protein_coding"	93200
"chr10"	7119062	7212237	"ENSMUST00000015346.11"	"Cnksr3"	"-"	"protein_coding"	93175
"chr11"	106394649	106487796	"ENSMUST00000001059.8"	"Ern1"	"-"	"protein_coding"	93147
"chr14"	44544054	44637201	"ENSMUST00000226445.1"	"AC160336.1"	"-"	"lincRNA"	93147
