"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"885"	"ENST00000357052.8"	"ENST00000600729.2"	"chr19"	41284151	41302847	"RAB4B"	"+"	"protein_coding"	"chr19"	41277552	41302848	"MIA-RAB4B"	"+"	"nonsense_mediated_decay"	18727	"same"	"9691_ID"	"Gm21983"	"Rab4b"
"886"	"ENST00000357052.8"	"ENST00000600729.2"	"chr19"	41284151	41302847	"RAB4B"	"+"	"protein_coding"	"chr19"	41277552	41302848	"MIA-RAB4B"	"+"	"nonsense_mediated_decay"	18727	"same"	"9691_ID"	"Mia"	"Rab4b"
"889"	"ENST00000357525.6"	"ENST00000368488.9"	"chr6"	118869458	118882879	"PLN"	"+"	"protein_coding"	"chr6"	118781943	119031238	"CEP85L"	"-"	"protein_coding"	13421	"opposite"	"9583_ID"	"Cep85l"	"Pln"
"895"	"ENST00000358246.5"	"ENST00000532756.1"	"chr11"	60145957	60163424	"MS4A7"	"+"	"protein_coding"	"chr11"	60102443	60164069	"MS4A6E"	"+"	"nonsense_mediated_decay"	17467	"same"	"9173_ID"	"Ms4a6c"	"Ms4a7"
"896"	"ENST00000358246.5"	"ENST00000532756.1"	"chr11"	60145957	60163424	"MS4A7"	"+"	"protein_coding"	"chr11"	60102443	60164069	"MS4A6E"	"+"	"nonsense_mediated_decay"	17467	"same"	"9173_ID"	"Ms4a6b"	"Ms4a7"
"897"	"ENST00000358246.5"	"ENST00000532756.1"	"chr11"	60145957	60163424	"MS4A7"	"+"	"protein_coding"	"chr11"	60102443	60164069	"MS4A6E"	"+"	"nonsense_mediated_decay"	17467	"same"	"9173_ID"	"Ms4a6d"	"Ms4a7"
"898"	"ENST00000358372.8"	"ENST00000546087.5"	"chr6"	160146616	160177351	"WTAP"	"+"	"protein_coding"	"chr6"	160100150	160183561	"SOD2"	"-"	"protein_coding"	30735	"opposite"	"12915_ID"	"Sod2"	"Wtap"
"901"	"ENST00000358582.9"	"ENST00000587199.5"	"chr19"	38158651	38183216	"ZNF781"	"-"	"protein_coding"	"chr19"	38138713	38183238	"ZFP30"	"-"	"protein_coding"	24565	"same"	"13072_ID"	"Zfp30"	"Zfp84"
"914"	"ENST00000360128.11"	"ENST00000519356.1"	"chr8"	33342699	33358780	"MAK16"	"+"	"protein_coding"	"chr8"	33330903	33367303	"TTI2"	"-"	"processed_transcript"	16081	"opposite"	"7913_ID"	"Tti2"	"Mak16"
"915"	"ENST00000360202.10"	"ENST00000591817.1"	"chr19"	36347812	36358038	"KIRREL2"	"+"	"protein_coding"	"chr19"	36342552	36360189	"NPHS1"	"-"	"processed_transcript"	11276	"opposite"	"7447_ID"	"Nphs1"	"Kirrel2"
"916"	"ENST00000360295.13"	"ENST00000580241.5"	"chr17"	27281918	27333163	"SEZ6"	"-"	"protein_coding"	"chr17"	27277530	27383701	"PIPOX"	"+"	"processed_transcript"	51540	"opposite"	"12045_ID"	"Pipox"	"Sez6"
"925"	"ENST00000360880.6"	"ENST00000407936.5"	"chr22"	38368306	38383429	"SOX10"	"-"	"protein_coding"	"chr22"	38349703	38437113	"POLR2F"	"+"	"protein_coding"	16737	"opposite"	"12491_ID"	"Polr2f"	"Sox10"
"926"	"ENST00000361010.7"	"ENST00000523376.5"	"chr11"	14988214	14993832	"CALCA"	"-"	"protein_coding"	"chr11"	14926542	15100182	"CALCB"	"+"	"protein_coding"	5684	"opposite"	"6538_ID"	"Calcb"	"Calca"
"929"	"ENST00000361200.7"	"ENST00000632571.1"	"chr1"	167063311	167098402	"STYXL2"	"+"	"protein_coding"	"chr1"	167032866	167135716	"GPA33"	"-"	"protein_coding"	35091	"opposite"	"12575_ID"	"Gpa33"	"Dusp27"
"930"	"ENST00000361320.5"	"ENST00000433211.7"	"chr10"	68685793	68861309	"LRRTM3"	"+"	"protein_coding"	"chr10"	67672280	69455953	"CTNNA3"	"-"	"protein_coding"	175516	"opposite"	"7874_ID"	"Ctnna3"	"Lrrtm3"
"932"	"ENST00000361952.5"	"ENST00000585073.1"	"chr17"	33288558	33290796	"ZNF830"	"+"	"protein_coding"	"chr17"	33269577	33308097	"CCT6B"	"-"	"protein_coding"	2238	"opposite"	"13077_ID"	"Cct6b"	"Zfp830"
"940"	"ENST00000362113.1"	"ENST00000381375.7"	"chr5"	54466359	54466450	"MIR449A"	"-"	"miRNA"	"chr5"	54408798	54469005	"CDC20B"	"-"	"protein_coding"	91	"same"	"8580_ID"	"Cdc20b"	"Mir449a"
"943"	"ENST00000362117.1"	"ENST00000357388.8"	"chr3"	160122532	160122613	"MIR16-2"	"+"	"miRNA"	"chr3"	160117437	160152741	"SMC4"	"+"	"protein_coding"	81	"same"	"8117_ID"	"Smc4"	"Mir16-2"
"946"	"ENST00000362131.1"	"ENST00000371950.3"	"chrX"	114058016	114058127	"MIR448"	"+"	"miRNA"	"chrX"	113818554	114144624	"HTR2C"	"+"	"protein_coding"	111	"same"	"8568_ID"	"Htr2c"	"Mir448"
"947"	"ENST00000362134.1"	"ENST00000262291.9"	"chr17"	57918626	57918698	"MIR21"	"+"	"miRNA"	"chr17"	57785014	57919616	"VMP1"	"+"	"protein_coding"	72	"same"	"8172_ID"	"Vmp1"	"Mir21a"
"953"	"ENST00000362154.1"	"ENST00000497424.5"	"chr20"	3898140	3898218	"MIR103A2"	"+"	"miRNA"	"chr20"	3869485	3907605	"PANK2"	"+"	"protein_coding"	78	"same"	"7958_ID"	"Pank2"	"Mir103-2"
"958"	"ENST00000362162.1"	"ENST00000313778.9"	"chr3"	49057580	49057667	"MIR425"	"-"	"miRNA"	"chr3"	49052925	49058684	"DALRD3"	"-"	"protein_coding"	87	"same"	"8453_ID"	"Dalrd3"	"Mir425"
"962"	"ENST00000362173.1"	"ENST00000427521.6"	"chr7"	130135951	130136045	"MIR335"	"+"	"miRNA"	"chr7"	130126176	130146306	"MEST"	"+"	"protein_coding"	94	"same"	"8326_ID"	"Mest"	"Mir335"
"969"	"ENST00000362196.1"	"ENST00000587152.6"	"chr19"	46142251	46142345	"MIR330"	"-"	"miRNA"	"chr19"	46112657	46148860	"EML2"	"-"	"protein_coding"	94	"same"	"8324_ID"	"Eml2"	"Mir330"
"972"	"ENST00000362201.2"	"ENST00000540900.7"	"chr17"	28444096	28444190	"MIR423"	"+"	"miRNA"	"chr17"	28442538	28512865	"NSRP1"	"+"	"processed_transcript"	94	"same"	"8452_ID"	"Nsrp1"	"Mir423"
"974"	"ENST00000362205.1"	"ENST00000273179.10"	"chr3"	38010894	38010971	"MIR26A1"	"+"	"miRNA"	"chr3"	37903370	38025960	"CTDSPL"	"+"	"protein_coding"	77	"same"	"8207_ID"	"Ctdspl"	"Mir26a-1"
"978"	"ENST00000362212.1"	"ENST00000402714.6"	"chr14"	100575991	100576090	"MIR342"	"+"	"miRNA"	"chr14"	100437785	100610573	"EVL"	"+"	"protein_coding"	99	"same"	"8333_ID"	"Evl"	"Mir342"
"980"	"ENST00000362220.1"	"ENST00000420843.7"	"chr11"	75046135	75046230	"MIR326"	"-"	"miRNA"	"chr11"	74971165	75062705	"ARRB1"	"-"	"protein_coding"	95	"same"	"8320_ID"	"Arrb1"	"Mir326"
"985"	"ENST00000362232.1"	"ENST00000509061.5"	"chr4"	113569518	113569586	"MIR302C"	"-"	"miRNA"	"chr4"	113558281	113578742	"LARP7"	"+"	"protein_coding"	68	"opposite"	"8219_ID"	"Larp7"	"Mir302c"
"986"	"ENST00000362232.1"	"ENST00000509061.5"	"chr4"	113569518	113569586	"MIR302C"	"-"	"miRNA"	"chr4"	113558281	113578742	"LARP7"	"+"	"protein_coding"	68	"opposite"	"8219_ID"	"Gm12666"	"Mir302c"
"988"	"ENST00000362234.2"	"ENST00000327946.12"	"chr10"	88024450	88024545	"MIR346"	"-"	"miRNA"	"chr10"	87359308	88126552	"GRID1"	"-"	"protein_coding"	95	"same"	"8334_ID"	"Grid1"	"Mir346"
"997"	"ENST00000362265.1"	"ENST00000672434.1"	"chr1"	65524116	65524191	"MIR101-1"	"-"	"miRNA"	"chr1"	65298927	65533415	"JAK1"	"-"	"protein_coding"	75	"same"	"7955_ID"	"Jak1"	"Mir101a"
"998"	"ENST00000362275.1"	"ENST00000509061.5"	"chr4"	113569159	113569227	"MIR302D"	"-"	"miRNA"	"chr4"	113558281	113578742	"LARP7"	"+"	"protein_coding"	68	"opposite"	"8222_ID"	"Larp7"	"Mir302d"
"999"	"ENST00000362275.1"	"ENST00000509061.5"	"chr4"	113569159	113569227	"MIR302D"	"-"	"miRNA"	"chr4"	113558281	113578742	"LARP7"	"+"	"protein_coding"	68	"opposite"	"8222_ID"	"Gm12666"	"Mir302d"
"1004"	"ENST00000362291.1"	"ENST00000371699.5"	"chr9"	139565053	139565138	"MIR126"	"+"	"miRNA"	"chr9"	139553307	139567130	"EGFL7"	"+"	"protein_coding"	85	"same"	"8015_ID"	"Egfl7"	"Mir126a"
"1034"	"ENST00000362465.1"	"ENST00000649900.1"	"chr4"	3045827	3045934	"RNU6-204P"	"+"	"snRNA"	"chr4"	3043288	3088749	"HTT"	"+"	"processed_transcript"	107	"same"	"11072_ID"	"Htt"	"Gm23622"
"1038"	"ENST00000362511.1"	"ENST00000326291.11"	"chr13"	73455245	73455352	"RNU6-79P"	"-"	"snRNA"	"chr13"	73356270	73590599	"PIBF1"	"+"	"protein_coding"	107	"opposite"	"11510_ID"	"Pibf1"	"Gm26424"
"1041"	"ENST00000362541.1"	"ENST00000371589.9"	"chr9"	139988796	139988882	"SNORD62"	"+"	"snoRNA"	"chr9"	139981436	140003635	"MAN1B1"	"+"	"protein_coding"	86	"same"	"12436_ID"	"Man1b1"	"Gm24920"
"1047"	"ENST00000362590.2"	"ENST00000303714.9"	"chr2"	69410008	69410115	"RNU6-1216P"	"+"	"snRNA"	"chr2"	69240310	69476459	"ANTXR1"	"+"	"protein_coding"	107	"same"	"10919_ID"	"Antxr1"	"U6"
"1052"	"ENST00000362642.1"	"ENST00000288235.9"	"chr15"	59633512	59633616	"RNU6-212P"	"-"	"snRNA"	"chr15"	59424632	59665070	"MYO1E"	"-"	"protein_coding"	104	"same"	"11077_ID"	"Myo1e"	"Gm24449"
"1054"	"ENST00000362650.1"	"ENST00000487694.7"	"chr3"	77141207	77141314	"RNU6-386P"	"+"	"snRNA"	"chr3"	75955845	77696661	"ROBO2"	"+"	"protein_coding"	107	"same"	"11199_ID"	"Robo2"	"Gm25985"
"1059"	"ENST00000362698.1"	"ENST00000558873.1"	"chr15"	65588388	65588504	"RNU5A-1"	"+"	"snRNA"	"chr15"	65558914	65592956	"PARP16"	"-"	"processed_transcript"	116	"opposite"	"10734_ID"	"Parp16"	"Rnu5g"
"1060"	"ENST00000362700.1"	"ENST00000217246.8"	"chr20"	14332965	14333071	"RNU6-228P"	"+"	"snRNA"	"chr20"	13976014	16033842	"MACROD2"	"+"	"protein_coding"	106	"same"	"11085_ID"	"Macrod2"	"Gm25512"
"1061"	"ENST00000362704.1"	"ENST00000568588.5"	"chr15"	66793587	66793656	"SNORD18C"	"-"	"snoRNA"	"chr15"	66791660	66816870	"RPL4"	"-"	"protein_coding"	69	"same"	"12384_ID"	"Rpl4"	"Gm22455"
"1076"	"ENST00000362775.1"	"ENST00000389156.9"	"chr5"	74075133	74075238	"RNU6-1330P"	"+"	"snRNA"	"chr5"	74073398	74162791	"FAM169A"	"-"	"protein_coding"	105	"opposite"	"11012_ID"	"Fam169a"	"Gm26063"
"1077"	"ENST00000362775.1"	"ENST00000610426.5"	"chr5"	74075133	74075238	"RNU6-1330P"	"+"	"snRNA"	"chr5"	74063073	74075938	"NSA2"	"+"	"protein_coding"	105	"same"	"11013_ID"	"Nsa2"	"Gm26063"
"1079"	"ENST00000362802.1"	"ENST00000344517.5"	"chr1"	229670810	229670936	"RNU4-21P"	"-"	"snRNA"	"chr1"	229652328	229694454	"ABCB10"	"-"	"protein_coding"	126	"same"	"10664_ID"	"Abcb10"	"Gm26254"
"1080"	"ENST00000362803.1"	"ENST00000568588.5"	"chr15"	66795149	66795248	"SNORD16"	"-"	"snoRNA"	"chr15"	66791660	66816870	"RPL4"	"-"	"protein_coding"	99	"same"	"12379_ID"	"Rpl4"	"Snord16a"
"1084"	"ENST00000362825.1"	"ENST00000331728.9"	"chr22"	31618730	31618839	"RNU6-1128P"	"-"	"snRNA"	"chr22"	31608283	31676066	"LIMK2"	"+"	"protein_coding"	109	"opposite"	"10844_ID"	"Limk2"	"U6"
"1085"	"ENST00000362827.1"	"ENST00000303375.10"	"chr17"	60761265	60761371	"RNU6-446P"	"+"	"snRNA"	"chr17"	60705030	60770958	"MRC2"	"+"	"protein_coding"	106	"same"	"11251_ID"	"Mrc2"	"Gm22827"
"1086"	"ENST00000362830.1"	"ENST00000393085.4"	"chr7"	135645450	135645557	"RNU6-223P"	"+"	"snRNA"	"chr7"	135611507	135662107	"MTPN"	"-"	"protein_coding"	107	"opposite"	"11083_ID"	"Mtpn"	"Gm25811"
"1102"	"ENST00000362920.1"	"ENST00000295974.12"	"chr4"	41086623	41086730	"RNU6-836P"	"+"	"snRNA"	"chr4"	40812043	41216635	"APBB2"	"-"	"protein_coding"	107	"opposite"	"11543_ID"	"Apbb2"	"Gm22605"
"1106"	"ENST00000362933.1"	"ENST00000217246.8"	"chr20"	15002198	15002305	"RNU6-1159P"	"-"	"snRNA"	"chr20"	13976014	16033842	"MACROD2"	"+"	"protein_coding"	107	"opposite"	"10866_ID"	"Macrod2"	"Gm26279"
"1107"	"ENST00000362935.1"	"ENST00000360864.9"	"chr20"	62540307	62540472	"RNU1-134P"	"+"	"snRNA"	"chr20"	62526478	62567364	"DNAJC5"	"+"	"protein_coding"	165	"same"	"10564_ID"	"Dnajc5"	"Gm24788"
"1116"	"ENST00000362995.1"	"ENST00000406644.7"	"chr22"	41773180	41773287	"RNU6-495P"	"-"	"snRNA"	"chr22"	41763336	41795328	"TEF"	"+"	"protein_coding"	107	"opposite"	"11281_ID"	"Tef"	"Gm23264"
"1117"	"ENST00000363002.1"	"ENST00000264710.5"	"chr2"	26265543	26265650	"RNU6-942P"	"+"	"snRNA"	"chr2"	26256952	26360323	"RAB10"	"+"	"protein_coding"	107	"same"	"11624_ID"	"Rab10"	"U6"
"1120"	"ENST00000363016.1"	"ENST00000549190.5"	"chr12"	42792351	42792453	"RNU6-249P"	"+"	"snRNA"	"chr12"	42632248	42835749	"PPHLN1"	"+"	"protein_coding"	102	"same"	"11097_ID"	"Pphln1"	"Gm23941"
"1140"	"ENST00000363133.1"	"ENST00000675690.1"	"chr2"	27698360	27698462	"RNU6-986P"	"-"	"snRNA"	"chr2"	27667243	27712621	"IFT172"	"-"	"protein_coding"	102	"same"	"11654_ID"	"Ift172"	"U6"
"1141"	"ENST00000363143.1"	"ENST00000305921.8"	"chr17"	58739693	58739798	"RNU6-623P"	"-"	"snRNA"	"chr17"	58677553	58743641	"PPM1D"	"+"	"protein_coding"	105	"opposite"	"11387_ID"	"Ppm1d"	"Gm26063"
"1147"	"ENST00000363214.1"	"ENST00000311528.10"	"chr16"	89627841	89627925	"SNORD68"	"+"	"snoRNA"	"chr16"	89627089	89630950	"RPL13"	"+"	"protein_coding"	84	"same"	"12438_ID"	"Rpl13"	"Snord68"
"1153"	"ENST00000363225.1"	"ENST00000560783.1"	"chr15"	101100890	101100997	"RNU6-181P"	"-"	"snRNA"	"chr15"	101099573	101114046	"LINS1"	"-"	"nonsense_mediated_decay"	107	"same"	"11055_ID"	"Lins1"	"Gm26084"
"1154"	"ENST00000363225.1"	"ENST00000560783.1"	"chr15"	101100890	101100997	"RNU6-181P"	"-"	"snRNA"	"chr15"	101099573	101114046	"LINS1"	"-"	"nonsense_mediated_decay"	107	"same"	"11055_ID"	"Lins1"	"Gm25879"
"1155"	"ENST00000363227.1"	"ENST00000374706.5"	"chr10"	35539886	35539980	"RNU6-1167P"	"-"	"snRNA"	"chr10"	35535952	35860852	"CCNY"	"+"	"protein_coding"	94	"opposite"	"10873_ID"	"Ccny"	"Gm24392"
"1156"	"ENST00000363227.1"	"ENST00000374706.5"	"chr10"	35539886	35539980	"RNU6-1167P"	"-"	"snRNA"	"chr10"	35535952	35860852	"CCNY"	"+"	"protein_coding"	94	"opposite"	"10873_ID"	"Ccny"	"Gm24667"
"1177"	"ENST00000363343.1"	"ENST00000399201.5"	"chr21"	37438842	37438950	"RNU6-992P"	"+"	"snRNA"	"chr21"	37415983	37451687	"SETD4"	"-"	"protein_coding"	108	"opposite"	"11657_ID"	"Setd4"	"Gm23025"
"1181"	"ENST00000363350.1"	"ENST00000368559.7"	"chr1"	154012391	154012498	"RNU6-179P"	"-"	"snRNA"	"chr1"	153965160	154127592	"NUP210L"	"-"	"protein_coding"	107	"same"	"11054_ID"	"Nup210l"	"Gm23138"
"1185"	"ENST00000363380.1"	"ENST00000409947.5"	"chr2"	128074448	128074555	"RNU6-1147P"	"+"	"snRNA"	"chr2"	128056305	128146041	"MAP3K2"	"-"	"protein_coding"	107	"opposite"	"10853_ID"	"Map3k2"	"Gm22378"
"1199"	"ENST00000363470.1"	"ENST00000489301.6"	"chr6"	47791125	47791286	"RNU1-105P"	"+"	"snRNA"	"chr6"	47749717	47800516	"OPN5"	"+"	"protein_coding"	161	"same"	"10551_ID"	"Opn5"	"Gm23692"
"1207"	"ENST00000363496.1"	"ENST00000648853.1"	"chr3"	93695872	93695979	"RNU6-511P"	"+"	"snRNA"	"chr3"	93591967	93698847	"PROS1"	"-"	"protein_coding"	107	"opposite"	"11296_ID"	"Pros1"	"U6"
"1213"	"ENST00000363509.1"	"ENST00000288221.11"	"chr3"	56106131	56106435	"RN7SKP45"	"+"	"misc_RNA"	"chr3"	55542338	56502495	"ERC2"	"-"	"protein_coding"	304	"opposite"	"9897_ID"	"Erc2"	"7SK"
"1229"	"ENST00000363593.1"	"ENST00000437139.7"	"chr17"	8076771	8076905	"SNORD118"	"-"	"snoRNA"	"chr17"	8075774	8079698	"TMEM107"	"-"	"protein_coding"	134	"same"	"12358_ID"	"Tmem107"	"Gm24208"
"1230"	"ENST00000363593.1"	"ENST00000437139.7"	"chr17"	8076771	8076905	"SNORD118"	"-"	"snoRNA"	"chr17"	8075774	8079698	"TMEM107"	"-"	"protein_coding"	134	"same"	"12358_ID"	"Tmem107"	"Snord118"
"1231"	"ENST00000363599.1"	"ENST00000608933.6"	"chr4"	89196356	89196460	"RNU6-112P"	"-"	"snRNA"	"chr4"	89178771	89205713	"PPM1K"	"-"	"protein_coding"	104	"same"	"10845_ID"	"Ppm1k"	"Gm26076"
"1232"	"ENST00000363605.1"	"ENST00000609686.4"	"chr12"	13836475	13836820	"RN7SKP162"	"+"	"misc_RNA"	"chr12"	13690270	14134536	"GRIN2B"	"-"	"protein_coding"	345	"opposite"	"9797_ID"	"Grin2b"	"7SK"
"1233"	"ENST00000363605.1"	"ENST00000609686.4"	"chr12"	13836475	13836820	"RN7SKP162"	"+"	"misc_RNA"	"chr12"	13690270	14134536	"GRIN2B"	"-"	"protein_coding"	345	"opposite"	"9797_ID"	"Grin2b"	"7SK"
"1240"	"ENST00000363652.1"	"ENST00000323817.7"	"chr6"	111043452	111043551	"RNU6-957P"	"-"	"snRNA"	"chr6"	110931180	111136840	"CDK19"	"-"	"protein_coding"	99	"same"	"11634_ID"	"Cdk19"	"U6"
"1241"	"ENST00000363655.1"	"ENST00000396113.5"	"chr8"	96067441	96067548	"RNU6-1209P"	"+"	"snRNA"	"chr8"	95908040	96070938	"NDUFAF6"	"+"	"protein_coding"	107	"same"	"10913_ID"	"Ndufaf6"	"Gm26203"
"1244"	"ENST00000363660.1"	"ENST00000600027.5"	"chr19"	50000976	50001063	"SNORD35B"	"+"	"snoRNA"	"chr19"	49999621	50002946	"RPS11"	"+"	"retained_intron"	87	"same"	"12400_ID"	"Rps11"	"Snord35b"
"1246"	"ENST00000363680.1"	"ENST00000405592.5"	"chr2"	42939879	42939987	"RNU6-137P"	"+"	"snRNA"	"chr2"	42721708	42984087	"MTA3"	"+"	"protein_coding"	108	"same"	"11026_ID"	"Mta3"	"Gm22259"
"1248"	"ENST00000363686.1"	"ENST00000258187.9"	"chr16"	58530811	58530918	"RNU6-103P"	"+"	"snRNA"	"chr16"	58497568	58547532	"NDRG4"	"+"	"protein_coding"	107	"same"	"10786_ID"	"Ndrg4"	"Gm23656"
"1254"	"ENST00000363705.1"	"ENST00000371158.6"	"chr1"	62282090	62282194	"RNU6-414P"	"+"	"snRNA"	"chr1"	62208148	62629592	"PATJ"	"+"	"protein_coding"	104	"same"	"11219_ID"	"Patj"	"Gm25132"
"1264"	"ENST00000363753.1"	"ENST00000568588.5"	"chr15"	66795580	66795652	"SNORD18A"	"-"	"snoRNA"	"chr15"	66791660	66816870	"RPL4"	"-"	"protein_coding"	72	"same"	"12382_ID"	"Rpl4"	"Gm23344"
"1273"	"ENST00000363778.1"	"ENST00000624694.2"	"chr5"	175130900	175131007	"RNU6-226P"	"+"	"snRNA"	"chr5"	175110170	175137728	"HRH2"	"+"	"nonsense_mediated_decay"	107	"same"	"11084_ID"	"Hrh2"	"Gm22060"
"1286"	"ENST00000363861.1"	"ENST00000526755.5"	"chr8"	42928616	42928761	"RNU1-124P"	"+"	"snRNA"	"chr8"	42911450	42940931	"FNTA"	"+"	"nonsense_mediated_decay"	145	"same"	"10561_ID"	"Fnta"	"Gm22809"
"1288"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"U6"
"1289"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm25903"
"1290"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm25024"
"1291"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm22263"
"1292"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm24437"
"1293"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm24218"
"1294"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"U6"
"1295"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"U6"
"1296"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"U6"
"1297"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm24569"
"1298"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"U6"
"1299"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm23483"
"1300"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"Gm23080"
"1301"	"ENST00000363862.1"	"ENST00000368468.4"	"chr6"	119648445	119648550	"RNU6-194P"	"+"	"snRNA"	"chr6"	119498369	119670926	"MAN1A1"	"-"	"protein_coding"	105	"opposite"	"11061_ID"	"Man1a"	"U6"
"1307"	"ENST00000363889.1"	"ENST00000271620.8"	"chr1"	150995221	150995328	"RNU6-884P"	"-"	"snRNA"	"chr1"	150980924	151008189	"PRUNE1"	"+"	"protein_coding"	107	"opposite"	"11583_ID"	"Prune1"	"Gm23622"
"1308"	"ENST00000363909.1"	"ENST00000410075.5"	"chr2"	71606884	71606988	"RNU6-105P"	"-"	"snRNA"	"chr2"	71503722	71622800	"ZNF638"	"+"	"protein_coding"	104	"opposite"	"10806_ID"	"Zfp638"	"Gm22716"
"1310"	"ENST00000363915.1"	"ENST00000646647.2"	"chr14"	21865450	21865560	"SNORD8"	"-"	"snoRNA"	"chr14"	21853357	21924282	"CHD8"	"-"	"protein_coding"	110	"same"	"12448_ID"	"Chd8"	"Snord8"
"1319"	"ENST00000363944.1"	"ENST00000353364.7"	"chr12"	62727871	62727978	"RNU6-595P"	"-"	"snRNA"	"chr12"	62654118	62810169	"USP15"	"+"	"protein_coding"	107	"opposite"	"11365_ID"	"Usp15"	"U6"
"1329"	"ENST00000363960.1"	"ENST00000240617.10"	"chr12"	14706635	14706904	"RN7SKP134"	"-"	"misc_RNA"	"chr12"	14656594	14720817	"PLBD1"	"-"	"protein_coding"	269	"same"	"9783_ID"	"Plbd1"	"7SK"
"1332"	"ENST00000363970.1"	"ENST00000380958.8"	"chr13"	28806637	28806744	"RNU6-82P"	"+"	"snRNA"	"chr13"	28712681	28869472	"PAN3"	"+"	"protein_coding"	107	"same"	"11536_ID"	"Pan3"	"Gm22606"
"1336"	"ENST00000364009.1"	"ENST00000453788.6"	"chr11"	122928784	122928869	"SNORD14E"	"-"	"snoRNA"	"chr11"	122928196	122933043	"HSPA8"	"-"	"protein_coding"	85	"same"	"12376_ID"	"Hspa8"	"SNORD14"
"1337"	"ENST00000364012.1"	"ENST00000457928.7"	"chr3"	176843804	176843908	"RNU6-681P"	"-"	"snRNA"	"chr3"	176737131	176915270	"TBL1XR1"	"-"	"protein_coding"	104	"same"	"11430_ID"	"Tbl1xr1"	"Gm22287"
"1342"	"ENST00000364047.1"	"ENST00000341695.10"	"chr4"	106328153	106328249	"RNU6-553P"	"+"	"snRNA"	"chr4"	106290233	106395219	"PPA2"	"-"	"protein_coding"	96	"opposite"	"11333_ID"	"Ppa2"	"Gm25294"
