"pairid_mouse"	"pairid_human"	"SYMBOL_Host_mouse"	"SYMBOL_Nested_mouse"	"geneChr_Nested_mouse"	"geneStart_Nested_mouse"	"geneEnd_Nested_mouse"	"ENST_Nested_mouse"	"Strand_nested_mouse"	"biotype_nested_mouse"	"geneChr_Host_mouse"	"geneStart_Host_mouse"	"geneEnd_Host_mouse"	"ENST_Host_mouse"	"Strand_host_mouse"	"biotype_host_mouse"	"Overlap_size_mouse"	"Strandness_mouse"	"ENST_Host_Human"	"ENST_Nested_Human"	"geneChr_Nested_Human"	"geneStart_Nested_Human"	"geneEnd_Nested_Human"	"SYMBOL_Nested_Human"	"Strand_nested_Human"	"biotype_nested_Human"	"geneChr_Host_Human"	"geneStart_Host_Human"	"geneEnd_Host_Human"	"SYMBOL_Host_Human"	"Strand_host_Human"	"biotype_host_Human"	"Overlap_size_Human"	"Strandness_human"
"59"	"4359_ID"	"7490_ID"	"Tspear"	"Gm3285"	"chr10"	77861974	77862882	"ENSMUST00000218443.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	908	"same"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"60"	"4426_ID"	"7476_ID"	"Tspear"	"Gm36176"	"chr10"	77846802	77847303	"ENSMUST00000218749.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	501	"same"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"61"	"4426_ID"	"7484_ID"	"Tspear"	"Gm36176"	"chr10"	77846802	77847303	"ENSMUST00000218749.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	501	"same"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"62"	"4426_ID"	"7490_ID"	"Tspear"	"Gm36176"	"chr10"	77846802	77847303	"ENSMUST00000218749.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	501	"same"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"63"	"452_ID"	"4324_ID"	"Acad11"	"Ackr4"	"chr9"	104098147	104126933	"ENSMUST00000076147.5"	"-"	"protein_coding"	"chr9"	104063376	104127463	"ENSMUST00000120854.7"	"+"	"protein_coding"	42777	"opposite"	"ENST00000264990.11"	"ENST00000509820.1"	"chr3"	132320231	132337811	"ACKR4"	"+"	"nonsense_mediated_decay"	"chr3"	132276984	132378653	"ACAD11"	"-"	"protein_coding"	21698	"opposite"
"64"	"489_ID"	"5937_ID"	"Arhgap6"	"Amelx"	"chrX"	169176113	169187200	"ENSMUST00000066112.11"	"-"	"protein_coding"	"chrX"	168795098	169304435	"ENSMUST00000033721.12"	"+"	"protein_coding"	11087	"opposite"	"ENST00000337414.9"	"ENST00000380712.7"	"chrX"	11311532	11318881	"AMELX"	"+"	"protein_coding"	"chrX"	11155663	11684040	"ARHGAP6"	"-"	"protein_coding"	7349	"opposite"
"65"	"491_ID"	"5938_ID"	"Rnf123"	"Amigo3"	"chr9"	108053158	108055701	"ENSMUST00000085060.2"	"+"	"protein_coding"	"chr9"	108051533	108083346	"ENSMUST00000160249.7"	"-"	"protein_coding"	2543	"opposite"	"ENST00000457726.5"	"ENST00000320431.8"	"chr3"	49754261	49757117	"AMIGO3"	"-"	"protein_coding"	"chr3"	49726976	49758960	"RNF123"	"+"	"nonsense_mediated_decay"	2856	"opposite"
"66"	"493_ID"	"5941_ID"	"Mcph1"	"Angpt2"	"chr8"	18690262	18741562	"ENSMUST00000033846.6"	"-"	"protein_coding"	"chr8"	18595130	18803189	"ENSMUST00000039412.14"	"+"	"protein_coding"	51300	"opposite"	"ENST00000344683.10"	"ENST00000325203.9"	"chr8"	6357171	6420930	"ANGPT2"	"-"	"protein_coding"	"chr8"	6264147	6506029	"MCPH1"	"+"	"protein_coding"	63778	"opposite"
"67"	"495_ID"	"5943_ID"	"Ralgps1"	"Angptl2"	"chr2"	33216068	33247717	"ENSMUST00000004208.6"	"+"	"protein_coding"	"chr2"	33133420	33371486	"ENSMUST00000113165.7"	"-"	"protein_coding"	31649	"opposite"	"ENST00000259351.10"	"ENST00000373425.8"	"chr9"	129849626	129884914	"ANGPTL2"	"-"	"protein_coding"	"chr9"	129677060	129985445	"RALGPS1"	"+"	"protein_coding"	35288	"opposite"
"68"	"496_ID"	"5944_ID"	"Dock7"	"Angptl3"	"chr4"	99033202	99046111	"ENSMUST00000125546.1"	"+"	"protein_coding"	"chr4"	98936670	99120915	"ENSMUST00000030286.13"	"-"	"protein_coding"	15158	"opposite"	"ENST00000635253.2"	"ENST00000371129.4"	"chr1"	63063190	63071984	"ANGPTL3"	"+"	"protein_coding"	"chr1"	62920396	63154057	"DOCK7"	"-"	"protein_coding"	8794	"opposite"
"69"	"497_ID"	"5945_ID"	"Mtor"	"Angptl7"	"chr4"	148495182	148500460	"ENSMUST00000030840.3"	"-"	"protein_coding"	"chr4"	148448610	148557683	"ENSMUST00000103221.9"	"+"	"protein_coding"	5278	"opposite"	"ENST00000361445.9"	"ENST00000376819.4"	"chr1"	11249411	11256038	"ANGPTL7"	"+"	"protein_coding"	"chr1"	11166591	11322608	"MTOR"	"-"	"protein_coding"	6627	"opposite"
"70"	"498_ID"	"5946_ID"	"Dock6"	"Angptl8"	"chr9"	21835509	21837347	"ENSMUST00000058777.7"	"+"	"protein_coding"	"chr9"	21799859	21852635	"ENSMUST00000217336.1"	"-"	"protein_coding"	1838	"opposite"	"ENST00000294618.12"	"ENST00000616433.4"	"chr19"	11348125	11352619	"ANGPTL8"	"+"	"protein_coding"	"chr19"	11309970	11373200	"DOCK6"	"-"	"protein_coding"	4494	"opposite"
"71"	"500_ID"	"5955_ID"	"Eif2ak1"	"Ankrd61"	"chr5"	143890742	143897685	"ENSMUST00000110718.1"	"-"	"protein_coding"	"chr5"	143817787	143904251	"ENSMUST00000100487.5"	"+"	"protein_coding"	6945	"opposite"	"ENST00000199389.11"	"ENST00000409061.2"	"chr7"	6071006	6076183	"ANKRD61"	"+"	"protein_coding"	"chr7"	6061877	6098806	"EIF2AK1"	"-"	"protein_coding"	5177	"opposite"
"72"	"505_ID"	"6322_ID"	"Rgl1"	"Apobec4"	"chr1"	152750550	152757544	"ENSMUST00000068875.4"	"+"	"protein_coding"	"chr1"	152516759	152766305	"ENSMUST00000111859.7"	"-"	"protein_coding"	6994	"opposite"	"ENST00000304685.8"	"ENST00000308641.6"	"chr1"	183615409	183622451	"APOBEC4"	"-"	"protein_coding"	"chr1"	183605219	183897665	"RGL1"	"+"	"protein_coding"	7042	"opposite"
"73"	"507_ID"	"6330_ID"	"Gcc1"	"Arf5"	"chr6"	28423559	28426602	"ENSMUST00000020717.11"	"+"	"protein_coding"	"chr6"	28417828	28428390	"ENSMUST00000064377.6"	"-"	"protein_coding"	3043	"opposite"	"ENST00000497650.1"	"ENST00000463733.5"	"chr7"	127228439	127231735	"ARF5"	"+"	"retained_intron"	"chr7"	127222873	127233660	"GCC1"	"-"	"processed_transcript"	3315	"opposite"
"74"	"515_ID"	"6355_ID"	"Mcm9"	"Asf1a"	"chr10"	53596951	53609225	"ENSMUST00000020004.7"	"+"	"protein_coding"	"chr10"	53536314	53630439	"ENSMUST00000237608.1"	"-"	"protein_coding"	12469	"opposite"	"ENST00000316316.10"	"ENST00000229595.6"	"chr6"	119215315	119230336	"ASF1A"	"+"	"protein_coding"	"chr6"	119134604	119256327	"MCM9"	"-"	"protein_coding"	15021	"opposite"
"75"	"517_ID"	"6358_ID"	"Cenpp"	"Aspn"	"chr13"	49544442	49567557	"ENSMUST00000177948.1"	"+"	"protein_coding"	"chr13"	49464022	49652785	"ENSMUST00000021818.8"	"-"	"protein_coding"	23123	"opposite"	"ENST00000375587.8"	"ENST00000375544.7"	"chr9"	95218486	95244788	"ASPN"	"-"	"protein_coding"	"chr9"	95088234	95382811	"CENPP"	"+"	"protein_coding"	26302	"opposite"
"76"	"5372_ID"	"7476_ID"	"Tspear"	"Gm49918"	"chr10"	77814681	77836652	"ENSMUST00000220393.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	21971	"same"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"77"	"5372_ID"	"7484_ID"	"Tspear"	"Gm49918"	"chr10"	77814681	77836652	"ENSMUST00000220393.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	21971	"same"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"78"	"5372_ID"	"7490_ID"	"Tspear"	"Gm49918"	"chr10"	77814681	77836652	"ENSMUST00000220393.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	21971	"same"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"79"	"538_ID"	"6387_ID"	"Cdc73"	"B3galt2"	"chr1"	143640663	143654614	"ENSMUST00000038252.3"	"+"	"protein_coding"	"chr1"	143598799	143702893	"ENSMUST00000018337.8"	"-"	"protein_coding"	13951	"opposite"	"ENST00000367435.5"	"ENST00000367434.5"	"chr1"	193147859	193155743	"B3GALT2"	"-"	"protein_coding"	"chr1"	193091160	193223945	"CDC73"	"+"	"protein_coding"	7884	"opposite"
"80"	"5458_ID"	"6354_ID"	"Gm28551"	"Gm50478"	"chr1"	53348478	53352619	"ENSMUST00000236737.1"	"-"	"protein_coding"	"chr1"	53325506	53352667	"ENSMUST00000144660.2"	"-"	"protein_coding"	4141	"same"	"ENST00000607062.5"	"ENST00000607535.5"	"chr2"	190526184	190531163	"ASDURF"	"+"	"protein_coding"	"chr2"	190526110	190535483	"ASNSD1"	"+"	"protein_coding"	4986	"same"
"81"	"5459_ID"	"6354_ID"	"Asnsd1"	"Gm50478"	"chr1"	53348478	53352619	"ENSMUST00000236737.1"	"-"	"protein_coding"	"chr1"	53344616	53352752	"ENSMUST00000027264.9"	"-"	"protein_coding"	4141	"same"	"ENST00000607062.5"	"ENST00000607535.5"	"chr2"	190526184	190531163	"ASDURF"	"+"	"protein_coding"	"chr2"	190526110	190535483	"ASNSD1"	"+"	"protein_coding"	4986	"same"
"82"	"5487_ID"	"7476_ID"	"Tspear"	"Gm7137"	"chr10"	77787489	77788200	"ENSMUST00000180161.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	711	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"83"	"5487_ID"	"7484_ID"	"Tspear"	"Gm7137"	"chr10"	77787489	77788200	"ENSMUST00000180161.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	711	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"84"	"5487_ID"	"7490_ID"	"Tspear"	"Gm7137"	"chr10"	77787489	77788200	"ENSMUST00000180161.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	711	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"85"	"5488_ID"	"7476_ID"	"Tspear"	"Gm7138"	"chr10"	77776251	77776944	"ENSMUST00000167669.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"86"	"5488_ID"	"7484_ID"	"Tspear"	"Gm7138"	"chr10"	77776251	77776944	"ENSMUST00000167669.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"87"	"5488_ID"	"7490_ID"	"Tspear"	"Gm7138"	"chr10"	77776251	77776944	"ENSMUST00000167669.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"88"	"5511_ID"	"7476_ID"	"Tspear"	"Gm9507"	"chr10"	77810966	77811843	"ENSMUST00000095491.4"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	877	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"89"	"5511_ID"	"7484_ID"	"Tspear"	"Gm9507"	"chr10"	77810966	77811843	"ENSMUST00000095491.4"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	877	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"90"	"5511_ID"	"7490_ID"	"Tspear"	"Gm9507"	"chr10"	77810966	77811843	"ENSMUST00000095491.4"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	877	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"91"	"5512_ID"	"7476_ID"	"Tspear"	"Gm9508"	"chr10"	77696540	77697233	"ENSMUST00000220084.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"92"	"5512_ID"	"7484_ID"	"Tspear"	"Gm9508"	"chr10"	77696540	77697233	"ENSMUST00000220084.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"93"	"5512_ID"	"7490_ID"	"Tspear"	"Gm9508"	"chr10"	77696540	77697233	"ENSMUST00000220084.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"94"	"5515_ID"	"7476_ID"	"Tspear"	"Gm9639"	"chr10"	77794398	77795076	"ENSMUST00000172205.4"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	678	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"95"	"5515_ID"	"7484_ID"	"Tspear"	"Gm9639"	"chr10"	77794398	77795076	"ENSMUST00000172205.4"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	678	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"96"	"5515_ID"	"7490_ID"	"Tspear"	"Gm9639"	"chr10"	77794398	77795076	"ENSMUST00000172205.4"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	678	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"97"	"5516_ID"	"7476_ID"	"Tspear"	"Gm9736"	"chr10"	77750520	77751354	"ENSMUST00000219969.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	834	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"98"	"5516_ID"	"7484_ID"	"Tspear"	"Gm9736"	"chr10"	77750520	77751354	"ENSMUST00000219969.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	834	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"99"	"5516_ID"	"7490_ID"	"Tspear"	"Gm9736"	"chr10"	77750520	77751354	"ENSMUST00000219969.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	834	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"100"	"5535_ID"	"7138_ID"	"Rsph14"	"Gnaz"	"chr10"	74967176	75016907	"ENSMUST00000037813.4"	"+"	"protein_coding"	"chr10"	74957476	75032586	"ENSMUST00000166088.7"	"-"	"protein_coding"	49731	"opposite"	"ENST00000216036.9"	"ENST00000615612.2"	"chr22"	23412704	23467219	"GNAZ"	"+"	"protein_coding"	"chr22"	23401592	23484177	"RSPH14"	"-"	"protein_coding"	54515	"opposite"
"101"	"5536_ID"	"7142_ID"	"Gm50139"	"Gng3"	"chr19"	8836932	8839194	"ENSMUST00000096259.5"	"-"	"protein_coding"	"chr19"	8829772	8841137	"ENSMUST00000237654.1"	"+"	"protein_coding"	2262	"opposite"	"ENST00000403734.2"	"ENST00000294117.6"	"chr11"	62475147	62476673	"GNG3"	"+"	"protein_coding"	"chr11"	62457746	62494856	"HNRNPUL2-BSCL2"	"-"	"nonsense_mediated_decay"	1526	"opposite"
"102"	"5540_ID"	"7154_ID"	"3110082I17Rik"	"Gper1"	"chr5"	139423150	139427800	"ENSMUST00000066211.4"	"+"	"protein_coding"	"chr5"	139359738	139460527	"ENSMUST00000198474.1"	"-"	"protein_coding"	4650	"opposite"	"ENST00000357429.10"	"ENST00000401670.1"	"chr7"	1121843	1132517	"GPER1"	"+"	"protein_coding"	"chr7"	1036621	1177893	"C7orf50"	"-"	"protein_coding"	11608	"opposite"
"103"	"5541_ID"	"7155_ID"	"3110082I17Rik"	"Gpr146"	"chr5"	139380580	139396415	"ENSMUST00000051293.7"	"+"	"protein_coding"	"chr5"	139359738	139460527	"ENSMUST00000198474.1"	"-"	"protein_coding"	18719	"opposite"	"ENST00000357429.10"	"ENST00000444847.2"	"chr7"	1084181	1098897	"GPR146"	"+"	"protein_coding"	"chr7"	1036621	1177893	"C7orf50"	"-"	"protein_coding"	14716	"opposite"
"104"	"5542_ID"	"7157_ID"	"Lims2"	"Gpr17"	"chr18"	31942996	31949636	"ENSMUST00000064016.5"	"-"	"protein_coding"	"chr18"	31922308	31955369	"ENSMUST00000234549.1"	"+"	"protein_coding"	6640	"opposite"	"ENST00000410011.5"	"ENST00000544369.5"	"chr2"	128403438	128410212	"GPR17"	"+"	"protein_coding"	"chr2"	128396002	128439360	"LIMS2"	"-"	"protein_coding"	6775	"opposite"
"105"	"5543_ID"	"7158_ID"	"Med12l"	"Gpr171"	"chr3"	59096447	59101821	"ENSMUST00000085040.4"	"-"	"protein_coding"	"chr3"	59006486	59318682	"ENSMUST00000199659.4"	"+"	"protein_coding"	5374	"opposite"	"ENST00000474524.5"	"ENST00000309180.6"	"chr3"	150915618	150921003	"GPR171"	"-"	"protein_coding"	"chr3"	150804675	151154860	"MED12L"	"+"	"protein_coding"	5385	"opposite"
"106"	"5544_ID"	"7159_ID"	"Ubac2"	"Gpr18"	"chr14"	121911252	121915781	"ENSMUST00000055475.8"	"-"	"protein_coding"	"chr14"	121878619	122021034	"ENSMUST00000039803.6"	"+"	"protein_coding"	4529	"opposite"	"ENST00000403766.8"	"ENST00000340807.3"	"chr13"	99906985	99913998	"GPR18"	"-"	"protein_coding"	"chr13"	99853107	100038758	"UBAC2"	"+"	"protein_coding"	7031	"opposite"
"107"	"5545_ID"	"7160_ID"	"Ubac2"	"Gpr183"	"chr14"	121952550	121965195	"ENSMUST00000049872.8"	"-"	"protein_coding"	"chr14"	121878619	122021034	"ENSMUST00000039803.6"	"+"	"protein_coding"	12645	"opposite"	"ENST00000403766.8"	"ENST00000376414.5"	"chr13"	99946792	99959653	"GPR183"	"-"	"protein_coding"	"chr13"	99853107	100038758	"UBAC2"	"+"	"protein_coding"	12861	"opposite"
"108"	"5547_ID"	"7161_ID"	"Rabgap1"	"Gpr21"	"chr2"	37516625	37520603	"ENSMUST00000065441.6"	"+"	"protein_coding"	"chr2"	37443284	37566437	"ENSMUST00000061179.11"	"+"	"protein_coding"	4272	"same"	"ENST00000373647.9"	"ENST00000616002.3"	"chr9"	125795945	125797944	"GPR21"	"+"	"protein_coding"	"chr9"	125703298	125867145	"RABGAP1"	"+"	"protein_coding"	1999	"same"
"109"	"5548_ID"	"7162_ID"	"Cog5"	"Gpr22"	"chr12"	31706866	31713926	"ENSMUST00000057783.5"	"-"	"protein_coding"	"chr12"	31654868	31937630	"ENSMUST00000036862.4"	"+"	"protein_coding"	7081	"opposite"	"ENST00000297135.9"	"ENST00000304402.6"	"chr7"	107110501	107116129	"GPR22"	"+"	"protein_coding"	"chr7"	106841816	107204365	"COG5"	"-"	"protein_coding"	5667	"opposite"
"110"	"5551_ID"	"7164_ID"	"Cask"	"Gpr34"	"chrX"	13632088	13640856	"ENSMUST00000041708.9"	"+"	"protein_coding"	"chrX"	13517079	13846578	"ENSMUST00000115438.9"	"-"	"protein_coding"	8770	"opposite"	"ENST00000378168.8"	"ENST00000378142.9"	"chrX"	41548225	41556528	"GPR34"	"+"	"protein_coding"	"chrX"	41374186	41782770	"CASK"	"-"	"protein_coding"	8303	"opposite"
"111"	"5552_ID"	"7165_ID"	"Rabgap1l"	"Gpr52"	"chr1"	160576337	160577974	"ENSMUST00000238289.1"	"-"	"protein_coding"	"chr1"	160257204	160792946	"ENSMUST00000028049.12"	"-"	"protein_coding"	1637	"same"	"ENST00000251507.8"	"ENST00000367685.5"	"chr1"	174417101	174418683	"GPR52"	"+"	"protein_coding"	"chr1"	174128654	174927319	"RABGAP1L"	"+"	"protein_coding"	1582	"same"
"112"	"5553_ID"	"7167_ID"	"Cask"	"Gpr82"	"chrX"	13661362	13667433	"ENSMUST00000053659.1"	"+"	"protein_coding"	"chrX"	13517079	13846578	"ENSMUST00000115438.9"	"-"	"protein_coding"	6071	"opposite"	"ENST00000378168.8"	"ENST00000302548.5"	"chrX"	41583433	41589383	"GPR82"	"+"	"protein_coding"	"chrX"	41374186	41782770	"CASK"	"-"	"protein_coding"	5950	"opposite"
"113"	"5554_ID"	"7170_ID"	"Med12l"	"Gpr87"	"chr3"	59178922	59195104	"ENSMUST00000200095.1"	"-"	"protein_coding"	"chr3"	59006486	59318682	"ENSMUST00000199659.4"	"+"	"protein_coding"	16182	"opposite"	"ENST00000474524.5"	"ENST00000260843.5"	"chr3"	151011873	151034608	"GPR87"	"-"	"protein_coding"	"chr3"	150804675	151154860	"MED12L"	"+"	"protein_coding"	22735	"opposite"
"114"	"5557_ID"	"7177_ID"	"Cdc20b"	"Gpx8"	"chr13"	113042758	113046410	"ENSMUST00000022282.5"	"-"	"protein_coding"	"chr13"	113035378	113091195	"ENSMUST00000109244.8"	"+"	"protein_coding"	3658	"opposite"	"ENST00000381375.7"	"ENST00000503787.6"	"chr5"	54455998	54463125	"GPX8"	"+"	"protein_coding"	"chr5"	54408798	54469005	"CDC20B"	"-"	"protein_coding"	7131	"opposite"
"115"	"5578_ID"	"7216_ID"	"Itgae"	"Haspin"	"chr11"	73135484	73138294	"ENSMUST00000052140.2"	"-"	"protein_coding"	"chr11"	73090582	73147446	"ENSMUST00000006101.3"	"+"	"protein_coding"	2810	"opposite"	"ENST00000263087.9"	"ENST00000325418.5"	"chr17"	3627196	3629993	"HASPIN"	"+"	"protein_coding"	"chr17"	3617921	3704482	"ITGAE"	"-"	"protein_coding"	2797	"opposite"
"116"	"5607_ID"	"7282_ID"	"Hoxd3"	"Hoxd4"	"chr2"	74711928	74728868	"ENSMUST00000144040.8"	"+"	"protein_coding"	"chr2"	74711926	74748271	"ENSMUST00000111983.8"	"+"	"protein_coding"	17232	"same"	"ENST00000432796.2"	"ENST00000306324.4"	"chr2"	177016277	177017954	"HOXD4"	"+"	"protein_coding"	"chr2"	177001684	177034143	"HOXD3"	"+"	"protein_coding"	1677	"same"
"117"	"5617_ID"	"7315_ID"	"Psmd1"	"Htr2b"	"chr1"	86099025	86111970	"ENSMUST00000027431.6"	"-"	"protein_coding"	"chr1"	86064618	86139151	"ENSMUST00000027432.8"	"+"	"protein_coding"	12945	"opposite"	"ENST00000678241.1"	"ENST00000258400.4"	"chr2"	231972943	231989756	"HTR2B"	"-"	"protein_coding"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	16813	"opposite"
